,Unnamed: 0,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate,hole_id
0,174,0.0134883059693116,3.281044857791948,-5099.50414679888,4399.84464367524,819.0880286053998,0.0518050944954683,3.413107963555973,0.0035774906472234,0.2715153099661798,69.48221200326262,3.2722448901316,7837.51691937976,43
1,208,0.0131376569540788,3.297580021405049,-5100.242728328651,4399.848462428133,819.1039160057765,0.0520326606603462,3.4434903333224387,0.0046663563055223,0.3018976797326456,69.44276814233814,3.286550040709325,8278.813366877832,43
2,217,0.0131377711701568,3.2812209786610547,-5100.305444262801,4399.8505502265,820.2446080476794,0.0520692102698851,3.4385144680970074,0.0040104926854731,0.2969218145072143,69.09464863590884,3.2838975568599325,8535.10130622647,43
3,224,0.0128531500660449,3.301379269920873,-5099.653876159191,4399.858500204326,827.8738278498735,0.052979242062375,3.4477713084830874,0.0045240232174189,0.3061786548932943,67.08054286642978,3.292577771034449,9621.434654126131,43
4,281,0.013556276294427,3.288521085435069,-5100.29709081975,4399.8401103267815,818.0121092721555,0.0516198642571533,3.3741242800425346,0.0030824709112433,0.2325316264527415,69.6330510763295,3.2564179569334097,7355.713218274408,43
5,287,0.0127675456462025,3.277855159801988,-5099.685414153527,4399.858480982053,824.8794554052589,0.0523748830599305,3.422780198278668,0.0031156020503051,0.2811875446888745,67.63955789294462,3.2783646198336456,9618.576476097123,43
6,447,0.0133170912026116,3.339405708748149,-5100.060914195141,4399.846260048929,821.2288838240736,0.0519545475464079,3.491892876567393,0.0053035355523029,0.3503002229775998,68.78403996409003,3.3129587515662324,8020.133752924149,43
7,466,0.0130632122746666,3.2654080963559218,-5099.741472667296,4399.850215597737,825.8574877285107,0.0525646480781812,3.3970844946434924,0.0033277014132563,0.2554918410536992,67.5152505517091,3.2674452055312484,8493.272934703848,43
8,477,0.0125324152922797,3.284606525040254,-5099.668206926307,4399.861635735359,822.4536397453453,0.0521714901528696,3.432351581192751,0.0044733137433861,0.2907589276029578,68.0700388434406,3.280811951591869,10104.33942298644,43
9,577,0.01306500119494,3.2507705274424303,-5100.144085407654,4399.852622096436,822.1908542807716,0.0520700690027495,3.372892009080351,0.0035978170716478,0.2312993554905578,68.36620374257912,3.253796006808108,8800.712779372956,43
