,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
5135,0.0136955,-2.12018,4399.84,-3875.5,54.9528,846.457,0.0542981,4.24636,0.00318104,0.207168
5136,0.0134305,-2.07017,4399.84,-3875.5,53.4338,854.421,0.0550019,4.33031,0.00420216,0.291122
5137,0.0131438,-2.11765,4399.85,-3875.5,52.6587,856.17,0.0555952,4.23707,0.00275469,0.197877
5138,0.0139733,-2.1015,4399.83,-3875.5,55.2528,846.134,0.0543608,4.30539,0.00356434,0.2662
5139,0.0137812,-2.10141,4399.83,-3875.5,54.9193,847.437,0.0548433,4.28386,0.00331927,0.244669
5140,0.0135667,-2.07111,4399.84,-3875.5,54.1008,851.847,0.054965,4.3381,0.00407997,0.298911
5141,0.0136042,-2.08291,4399.84,-3875.5,54.4227,850.015,0.054943,4.30928,0.00364767,0.270094
5142,0.0131408,-2.09235,4399.85,-3875.5,52.5336,857.913,0.0558029,4.29071,0.00312543,0.251519
5143,0.0131578,-2.08871,4399.85,-3875.5,52.6952,857.454,0.0560431,4.2907,0.00294053,0.251505
5144,0.013243,-2.09208,4399.85,-3875.5,53.0141,855.793,0.0557039,4.29182,0.00311284,0.252627
5145,0.0132985,-2.11166,4399.84,-3875.5,53.4032,853.531,0.055622,4.25129,0.00277232,0.212097
5146,0.0134897,-2.12281,4399.84,-3875.5,54.2373,850.233,0.0549891,4.26843,0.00308102,0.229239
5147,0.0132806,-2.13918,4399.85,-3875.5,53.4268,852.176,0.0554739,4.21967,0.00241604,0.18048
5148,0.0139402,-2.1172,4399.83,-3875.5,55.4163,845.106,0.0544881,4.2645,0.00334871,0.22531
5149,0.0139291,-2.09248,4399.83,-3875.5,55.4365,845.837,0.0545741,4.32235,0.00407372,0.283155
5150,0.013625,-2.11052,4399.84,-3875.5,54.4854,849.315,0.0549667,4.27913,0.00337324,0.239937
5151,0.0138603,-2.08186,4399.83,-3875.5,55.052,847.184,0.0542059,4.32004,0.00391573,0.280851
5152,0.0135736,-2.11736,4399.84,-3875.5,53.9182,851.379,0.0549234,4.26629,0.00298136,0.2271
5153,0.0131205,-2.11354,4399.85,-3875.5,52.6557,857.062,0.0561103,4.25108,0.0030268,0.211887
5154,0.0134365,-2.1398,4399.84,-3875.5,53.0888,854.091,0.0556458,4.22574,0.00257959,0.186554
5155,0.0137906,-2.08754,4399.84,-3875.5,55.0913,847.276,0.0544803,4.31809,0.00356954,0.278898
5156,0.0131535,-2.11792,4399.85,-3875.5,53.0181,854.92,0.0556175,4.24719,0.00261628,0.207996
5157,0.0133951,-2.10135,4399.85,-3875.5,53.2372,854.453,0.0556108,4.28521,0.00345584,0.246015
