hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
72,0.0144644,-0.266819,2199.95,-4499.82,64.5219,936.201,0.0581014,6.14658,0.00515447
72,0.0142314,-0.336117,2199.96,-4499.88,65.9132,931.037,0.0560958,6.12636,0.00472614
72,0.0146398,-0.375994,2199.95,-4499.83,65.7713,934.589,0.0561895,6.0828,0.00469379
72,0.0135421,-0.321665,2199.96,-4499.98,66.048,928.635,0.0555646,6.11753,0.00552526
72,0.0145738,-0.256224,2199.96,-4499.85,67.1422,925.686,0.0560399,6.1244,0.00500423
72,0.0140624,-0.31078,2199.96,-4499.86,67.0628,924.261,0.0554998,6.13679,0.00550803
72,0.0142426,-0.344642,2199.96,-4499.98,64.7916,935.95,0.0570887,6.12147,0.00518876
72,0.013861,-0.31284,2199.96,-4499.99,65.1695,927.709,0.0569552,6.20087,0.00604005
72,0.0145303,-0.336745,2199.95,-4499.84,65.6706,923.781,0.0564467,6.23563,0.00690092
72,0.0145879,-0.313704,2199.95,-4499.82,65.6963,932.771,0.0563957,6.11715,0.00452295
72,0.0146234,-0.354271,2199.95,-4499.89,66.1789,930.288,0.0558102,6.11934,0.00515265
72,0.0139774,-0.30136,2199.96,-4499.84,66.7491,920.847,0.0553163,6.20808,0.00714835
72,0.0134048,-0.289742,2199.96,-4499.86,65.3386,931.011,0.056523,6.12764,0.00492883
72,0.0150879,-0.332671,2199.95,-4499.82,67.3437,926.27,0.0559076,6.11973,0.00566322
72,0.0148221,-0.320473,2199.95,-4499.92,66.2227,932.742,0.0566981,6.08624,0.00404261
72,0.0141789,-0.251148,2199.96,-4499.89,65.61,925.983,0.0563173,6.19429,0.00600226
72,0.0146884,-0.303684,2199.95,-4499.98,67.2729,921.403,0.0545991,6.16599,0.00544883
72,0.0144239,-0.348189,2199.95,-4499.83,64.4536,937.253,0.0570176,6.1331,0.00531047
72,0.014267,-0.350439,2199.96,-4499.79,65.0865,929.014,0.0563516,6.19116,0.00602882
72,0.0144027,-0.304648,2199.96,-4499.76,66.7168,920.017,0.0557638,6.21141,0.00664394
72,0.0142721,-0.323167,2199.96,-4499.89,65.7357,931.664,0.0556516,6.11346,0.00480708
72,0.0145135,-0.336488,2199.96,-4499.85,67.0064,924.866,0.0558241,6.14312,0.00400239
72,0.0136302,-0.312461,2199.96,-4499.86,64.5597,936.025,0.056918,6.11401,0.00425757
72,0.0142958,-0.320111,2199.96,-4499.9,64.3542,936.819,0.0576206,6.14493,0.00510646
72,0.0138698,-0.344362,2199.96,-4499.83,65.0244,934.812,0.0566144,6.10909,0.00320222
72,0.0144483,-0.30785,2199.96,-4499.86,66.4276,931.669,0.0564956,6.08121,0.00438609
72,0.0146546,-0.300261,2199.95,-4499.95,65.6504,929.952,0.0562617,6.15873,0.00539965
72,0.0161051,-0.280521,2199.94,-4499.84,67.3218,925.804,0.0559516,6.15846,0.00508926
72,0.0144096,-0.288637,2199.96,-4499.8,65.9084,929.104,0.0563842,6.15165,0.00525796
72,0.0142219,-0.28485,2199.96,-4499.79,65.9007,932.595,0.0566394,6.09614,0.00496536
72,0.0141237,-0.355173,2199.96,-4499.89,65.483,934.742,0.0570183,6.09015,0.00432004
72,0.0145311,-0.302614,2199.95,-4499.98,67.084,925.486,0.0557691,6.13187,0.00484114
72,0.0144394,-0.26363,2199.96,-4499.87,65.6098,924.855,0.0551342,6.20722,0.00735697
72,0.013687,-0.326069,2199.96,-4499.84,65.8584,931.716,0.0560962,6.08928,0.00488632
72,0.014838,-0.301862,2199.95,-4499.96,66.1832,925.655,0.0558244,6.17778,0.00540141
72,0.0142466,-0.254174,2199.96,-4499.91,67.0167,922.785,0.0561227,6.17418,0.00584529
72,0.0141048,-0.318085,2199.96,-4499.79,66.6185,929.069,0.0560488,6.09976,0.00449747
72,0.0142958,-0.283238,2199.96,-4499.81,65.9196,923.159,0.0562175,6.2175,0.00727697
72,0.014225,-0.29137,2199.96,-4499.88,66.1745,925.162,0.0563115,6.17722,0.00621405
72,0.0139266,-0.281596,2199.96,-4499.98,65.6131,927.906,0.0561276,6.16306,0.00536467
72,0.0144761,-0.29232,2199.95,-4499.8,65.3403,935.33,0.0572088,6.10012,0.00488735
72,0.014893,-0.32038,2199.95,-4499.77,66.9915,923.516,0.0552251,6.1684,0.00708111
72,0.0142316,-0.308974,2199.96,-4499.96,66.7304,922.64,0.0558114,6.17816,0.00569606
72,0.0147427,-0.261563,2199.95,-4499.9,66.2138,929.835,0.0557815,6.13131,0.00610314
72,0.0143493,-0.26744,2199.96,-4499.91,65.8786,935.394,0.0556767,6.16584,0.0061873
72,0.0138482,-0.291303,2199.96,-4499.88,65.0643,928.051,0.0562646,6.1932,0.00704764
72,0.0139416,-0.252887,2199.96,-4499.75,66.2199,922.169,0.0563129,6.19767,0.00649985
72,0.0141647,-0.305085,2199.96,-4499.98,67.2532,921.897,0.056016,6.1634,0.00542399
72,0.0140403,-0.330888,2199.96,-4499.76,65.3385,931.471,0.0565881,6.14285,0.00508605
72,0.0145309,-0.325316,2199.95,-4499.79,66.9547,920.077,0.0551581,6.19713,0.00607241
72,0.0140559,-0.366806,2199.96,-4499.96,65.115,934.86,0.056474,6.10096,0.00397554
72,0.0144355,-0.294324,2199.96,-4499.9,66.4335,928.087,0.0557687,6.13063,0.00486292
72,0.0145738,-0.281492,2199.95,-4499.91,65.6092,928.641,0.0573773,6.17783,0.00569501
72,0.0144963,-0.359673,2199.95,-4499.9,64.8274,931.805,0.0568599,6.18501,0.00587264
72,0.0148679,-0.336467,2199.95,-4499.85,67.1126,923.083,0.0552612,6.17196,0.00531042
72,0.0139681,-0.356347,2199.96,-4499.75,65.109,935.911,0.0563372,6.08256,0.00426349
72,0.0138985,-0.271697,2199.96,-4499.9,65.8105,925.849,0.0557709,6.1879,0.00589651
72,0.014352,-0.293,2199.96,-4499.81,66.3709,929.102,0.0560311,6.11408,0.00559031
72,0.0144303,-0.322287,2199.95,-4499.96,64.4092,937.038,0.0573635,6.13052,0.0054327
72,0.0140831,-0.341087,2199.96,-4499.83,66.0208,931.605,0.0567526,6.09694,0.0042178
72,0.0147606,-0.324713,2199.95,-4499.9,67.0771,924.514,0.0558832,6.15733,0.00596748
72,0.0140821,-0.340854,2199.96,-4499.93,64.1972,937.464,0.0569167,6.13808,0.00500175
72,0.0147367,-0.342305,2199.95,-4499.83,66.5609,931.958,0.0565184,6.07804,0.00371733
72,0.0140885,-0.267806,2199.96,-4499.91,65.3559,925.314,0.0560162,6.21342,0.00631628
72,0.0141399,-0.352295,2199.96,-4499.86,65.3596,934.862,0.0571813,6.10329,0.00459455
72,0.0144571,-0.279376,2199.96,-4499.84,67.0658,922.226,0.0555305,6.16701,0.00659611
72,0.013775,-0.312975,2199.96,-4499.92,64.4302,935.731,0.0567355,6.13237,0.00498244
72,0.0148213,-0.278687,2199.95,-4499.79,65.267,936.448,0.0564628,6.08704,0.00451009
72,0.0140524,-0.32433,2199.96,-4499.95,66.1046,930.988,0.0562545,6.09403,0.00478345
72,0.0140918,-0.253895,2199.96,-4499.99,64.7639,931.971,0.056502,6.16116,0.00558434
72,0.0147168,-0.310056,2199.95,-4499.77,66.1918,934.454,0.0568171,6.06547,0.00368868
72,0.0145014,-0.320061,2199.95,-4499.9,67.0685,927.419,0.0561299,6.1044,0.00551101
72,0.0139216,-0.295533,2199.96,-4499.9,65.8113,925.223,0.0560782,6.18703,0.00712656
72,0.0134192,-0.320677,2199.96,-4499.87,64.4848,935.658,0.0569304,6.1138,0.0045555
72,0.0147804,-0.302376,2199.95,-4499.75,66.9217,922.342,0.0552814,6.1782,0.00558931
72,0.013996,-0.306322,2199.96,-4499.98,64.2154,937.351,0.0567794,6.1309,0.00454739
72,0.0143957,-0.336384,2199.95,-4499.76,66.3524,930.878,0.0562162,6.09759,0.00466628
72,0.01422,-0.319732,2199.96,-4499.91,65.2397,936.712,0.0563172,6.11255,0.00502261
