tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0148316,2.39717,6599.57,-3875.5,59.3317,743.532,0.0466561,2.50437,0.00334027,0.26037
0.0154894,2.36571,6599.53,-3875.5,61.4458,736.779,0.0454125,2.46625,0.00264613,0.222258
0.0155827,2.39963,6599.53,-3875.5,62.091,736.843,0.0451288,2.524,0.00344038,0.280004
0.015403,2.40674,6599.54,-3875.5,61.3612,739.575,0.0457081,2.54123,0.00352645,0.29724
0.0150382,2.34518,6599.56,-3875.5,60.0659,739.174,0.0464196,2.43757,0.00198321,0.193571
0.0149496,2.3792,6599.57,-3875.5,59.5545,742.233,0.0464327,2.48097,0.0027104,0.236975
0.0151211,2.38462,6599.55,-3875.5,60.2731,740.444,0.0459826,2.48632,0.00282326,0.242327
0.0153607,2.39547,6599.54,-3875.5,61.2868,738.892,0.0458108,2.51317,0.00354834,0.269171
0.0154674,2.37156,6599.54,-3875.5,61.1827,737.59,0.0456861,2.4675,0.00251585,0.223506
0.0150439,2.37055,6599.56,-3875.5,59.8682,740.296,0.0460639,2.4601,0.00255305,0.216101
0.0154244,2.37833,6599.54,-3875.5,61.4527,737.531,0.045355,2.49185,0.00307229,0.24785
0.0150537,2.35276,6599.56,-3875.5,59.9823,738.88,0.0459438,2.43629,0.00201078,0.192295
0.015202,2.37196,6599.55,-3875.5,60.3948,739.173,0.0460904,2.45756,0.002521,0.213567
0.0151759,2.38207,6599.55,-3875.5,60.508,739.939,0.0459659,2.4858,0.00311154,0.241804
0.0154944,2.39317,6599.53,-3875.5,61.9042,737.137,0.0454377,2.51207,0.00320957,0.26807
0.0152039,2.37938,6599.55,-3875.5,60.7624,739.605,0.0460161,2.49136,0.00300385,0.247366
0.0153813,2.3925,6599.54,-3875.5,61.2394,738.943,0.0458756,2.50911,0.00324474,0.265112
0.0148879,2.36876,6599.57,-3875.5,59.2759,741.888,0.0464763,2.46066,0.0026986,0.216666
0.0149278,2.39477,6599.56,-3875.5,59.6068,743.408,0.0466442,2.51522,0.00311146,0.271227
0.0154698,2.37996,6599.54,-3875.5,61.4247,737.98,0.0455611,2.49998,0.00300992,0.255987
0.0153723,2.38522,6599.54,-3875.5,61.117,738.763,0.0458123,2.49873,0.00313419,0.254739
0.0153916,2.36966,6599.54,-3875.5,60.8378,738.879,0.0463096,2.46685,0.00280195,0.222854
0.0153934,2.4009,6599.53,-3875.5,61.1754,739.729,0.045834,2.52926,0.0033328,0.285264
0.0153028,2.37971,6599.54,-3875.5,61.0021,738.892,0.0457508,2.49088,0.00297141,0.246884
