tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0122827,0.278506,6599.7,-4499.87,56.8701,758.461,0.0497591,0.170514,-0.00291051,-0.278285
0.0122645,0.338678,6599.71,-4499.87,56.0235,753.141,0.0495611,0.271655,-0.00185214,-0.177144
0.0125297,0.293461,6599.69,-4499.87,57.407,754.769,0.0491977,0.175882,-0.00297713,-0.272917
0.0125273,0.297039,6599.7,-4499.87,57.8772,751.174,0.0489195,0.208424,-0.00271538,-0.240375
0.0122766,0.329662,6599.71,-4499.87,56.3286,753.165,0.0494059,0.251849,-0.0018893,-0.19695
0.012394,0.350047,6599.7,-4499.87,57.0132,749.998,0.0488009,0.271185,-0.00166676,-0.177614
0.0125495,0.292358,6599.69,-4499.87,56.5761,757.919,0.0497063,0.169358,-0.00321158,-0.279441
0.0122258,0.303451,6599.71,-4499.87,56.1948,755.828,0.0497344,0.212483,-0.00244183,-0.236316
0.0125928,0.318302,6599.69,-4499.87,57.2526,750.79,0.0490552,0.254143,-0.00226496,-0.194656
0.0122139,0.311326,6599.71,-4499.87,55.7205,755.708,0.0498564,0.23633,-0.00248894,-0.212469
0.0121031,0.280128,6599.71,-4499.87,54.7919,757.788,0.0500416,0.243436,-0.00216945,-0.205363
0.0120351,0.325822,6599.72,-4499.87,55.6303,754.59,0.0496835,0.259353,-0.00183428,-0.189446
0.0119894,0.320067,6599.72,-4499.87,55.1681,757.036,0.0498421,0.2364,-0.00230862,-0.212399
0.0125358,0.327685,6599.69,-4499.87,57.3981,750.928,0.0490673,0.238986,-0.00222035,-0.209812
0.0125912,0.322291,6599.69,-4499.87,57.622,751.126,0.0489573,0.222392,-0.00261966,-0.226407
0.0123807,0.326309,6599.7,-4499.87,56.3404,753.41,0.0498034,0.252928,-0.00198546,-0.195871
0.012034,0.313664,6599.72,-4499.87,56.4271,753.875,0.0494998,0.229047,-0.00283832,-0.219752
0.0121265,0.294559,6599.71,-4499.87,55.7895,756.463,0.0497351,0.22008,-0.00254563,-0.228719
0.0119469,0.32458,6599.72,-4499.87,54.7599,756.206,0.0499939,0.274877,-0.00183577,-0.173922
0.0118871,0.312765,6599.72,-4499.87,55.002,758.427,0.0502991,0.224274,-0.00251285,-0.224525
0.0120908,0.325896,6599.72,-4499.87,55.7053,754.771,0.0498562,0.255238,-0.00222052,-0.193561
0.0116515,0.286035,6599.74,-4499.87,54.9996,757.414,0.0501266,0.236557,-0.00217899,-0.212242
0.0124679,0.30204,6599.7,-4499.87,57.1675,752.612,0.0493062,0.222141,-0.00233926,-0.226658
0.0120072,0.336932,6599.72,-4499.87,55.5048,754.477,0.0491416,0.262177,-0.00194339,-0.186622
