,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
13887,0.0104304,-0.454772,6599.79,-3875.5,41.5143,781.426,0.0545925,5.84716,0.000169695,0.0127748
13888,0.0104103,-0.427269,6599.79,-3875.5,41.4698,781.746,0.0547714,5.86101,0.000314189,0.0266264
13889,0.0106923,-0.459248,6599.78,-3875.5,42.5435,778.761,0.0542652,5.83505,0.000232278,0.000666655
13890,0.0103776,-0.463614,6599.79,-3875.5,41.6533,781.217,0.0545911,5.82788,5.71768e-05,-0.00650372
13891,0.0107696,-0.493595,6599.77,-3875.5,42.7381,778.416,0.054038,5.7988,-0.000452199,-0.0355862
13892,0.0107785,-0.47925,6599.77,-3875.5,42.9409,777.632,0.0540384,5.8149,4.60085e-05,-0.0194865
13893,0.0109882,-0.430049,6599.76,-3875.5,43.9159,774.686,0.0535507,5.8725,0.000441198,0.0381159
13894,0.0102079,-0.420456,6599.8,-3875.5,40.9867,783.057,0.0549684,5.86676,0.000212691,0.0323765
13895,0.0108217,-0.444229,6599.77,-3875.5,43.1326,776.881,0.0538625,5.8518,0.000261071,0.0174125
13896,0.0105792,-0.452663,6599.78,-3875.5,42.3711,779.128,0.0543434,5.84122,-1.8031e-05,0.00683429
13897,0.0109737,-0.469232,6599.77,-3875.5,43.4721,775.994,0.053728,5.82565,3.94053e-06,-0.00873461
13898,0.0104526,-0.41674,6599.79,-3875.5,41.5817,781.231,0.054477,5.87053,0.000579535,0.0361439
13899,0.0109143,-0.475431,6599.77,-3875.5,43.0499,777.052,0.0538336,5.81371,9.32748e-05,-0.0206812
13900,0.010825,-0.464809,6599.77,-3875.5,42.9589,777.42,0.0539234,5.82365,6.58392e-05,-0.0107351
13901,0.0104366,-0.4277,6599.79,-3875.5,41.7363,780.934,0.0545864,5.86633,-2.17255e-05,0.0319437
13902,0.0107677,-0.504502,6599.77,-3875.5,42.835,778.23,0.0539985,5.79576,-0.000199076,-0.0386237
13903,0.0106894,-0.49373,6599.78,-3875.5,42.6356,778.432,0.0540677,5.80707,0.000225993,-0.0273196
13904,0.0104015,-0.448858,6599.79,-3875.5,41.3836,781.964,0.0547488,5.84016,2.61623e-05,0.00577099
13905,0.0103619,-0.428532,6599.79,-3875.5,41.567,781.325,0.0545638,5.86432,0.000256024,0.0299352
13906,0.010409,-0.464803,6599.79,-3875.5,41.6382,781.19,0.0545785,5.83113,-6.8146e-05,-0.003257
13907,0.0102764,-0.413225,6599.79,-3875.5,41.0205,782.905,0.0548175,5.87088,0.000563504,0.0364976
13908,0.011079,-0.458266,6599.76,-3875.5,43.9915,774.277,0.0531652,5.81878,-3.54916e-05,-0.0156084
13909,0.0110026,-0.445109,6599.77,-3875.5,43.9772,774.513,0.0534468,5.84926,0.000100491,0.0148768
13910,0.0109315,-0.440927,6599.77,-3875.5,43.7128,775.129,0.0534798,5.85222,0.000410844,0.0178346
13911,0.0106459,-0.426951,6599.78,-3875.5,42.2026,779.398,0.0541594,5.8631,0.00019048,0.0287173
13912,0.0104384,-0.442251,6599.79,-3875.5,41.4944,781.764,0.0548416,5.85864,0.000201794,0.024249
13913,0.0105258,-0.40549,6599.79,-3875.5,41.6595,781.438,0.0548055,5.88237,0.000307628,0.047987
13914,0.0105566,-0.479087,6599.78,-3875.5,42.1848,779.758,0.0544792,5.82233,5.27869e-05,-0.0120588
13915,0.0101455,-0.488927,6599.8,-3875.5,41.9457,780.191,0.0544416,5.81294,-7.03527e-05,-0.0214453
13916,0.010424,-0.469207,6599.79,-3875.5,41.3406,782.084,0.054765,5.83356,0.000131731,-0.00082762
13917,0.0109083,-0.423055,6599.77,-3875.5,43.6098,775.36,0.053337,5.87288,0.000332781,0.0384918
13918,0.0105301,-0.45357,6599.78,-3875.5,41.9183,780.337,0.054422,5.84888,-2.29762e-05,0.014492
13919,0.0108062,-0.404917,6599.77,-3875.5,42.9815,777.628,0.0539987,5.88981,0.000488945,0.0554273
13920,0.0107192,-0.49132,6599.77,-3875.5,42.5202,778.645,0.0539966,5.80699,-0.000123504,-0.027395
13921,0.0106799,-0.465192,6599.78,-3875.5,42.8082,777.842,0.0540533,5.83178,-1.91323e-05,-0.00260321
13922,0.0108626,-0.425646,6599.77,-3875.5,43.2346,776.576,0.0537058,5.86455,0.000329541,0.0301647
13923,0.0105554,-0.466519,6599.78,-3875.5,42.2543,779.539,0.0544464,5.83776,0.000247406,0.00337704
13924,0.0103384,-0.409738,6599.79,-3875.5,41.3016,782.379,0.0551027,5.87191,0.000676782,0.0375253
13925,0.010611,-0.421247,6599.78,-3875.5,42.4831,778.798,0.0541689,5.86792,0.000269909,0.0335335
13926,0.0107135,-0.447602,6599.78,-3875.5,42.64,778.469,0.0543215,5.84274,-9.27181e-05,0.008358
13927,0.0109003,-0.482814,6599.77,-3875.5,43.2409,776.758,0.0539412,5.81192,-0.000244273,-0.0224651
13928,0.0104612,-0.453565,6599.79,-3875.5,41.1724,782.785,0.0551233,5.8475,0.000380639,0.0131136
13929,0.0106655,-0.495636,6599.78,-3875.5,42.2637,779.701,0.0544817,5.80448,-0.000254814,-0.0299069
13930,0.0104388,-0.477025,6599.79,-3875.5,41.6505,781.202,0.0546682,5.81918,0.000163038,-0.0152047
13931,0.0103057,-0.461997,6599.79,-3875.5,41.0598,782.906,0.0549476,5.83464,-2.56347e-05,0.000251922
13932,0.0101931,-0.441124,6599.8,-3875.5,40.5929,784.3,0.0553386,5.84961,9.64219e-05,0.0152231
13933,0.0109618,-0.417644,6599.77,-3875.5,43.8009,775.021,0.0535548,5.87714,0.000491114,0.0427583
13934,0.0110861,-0.431165,6599.76,-3875.5,44.0015,774.165,0.0531756,5.85471,0.000179008,0.0203224
13935,0.0107908,-0.401746,6599.77,-3875.5,42.9239,778.071,0.0541654,5.89297,0.000501661,0.0585886
13936,0.0105175,-0.498848,6599.78,-3875.5,42.3497,779.676,0.0546209,5.80347,-0.000191532,-0.0309204
13937,0.0103986,-0.440835,6599.79,-3875.5,41.9802,780.038,0.0542011,5.85123,0.000158668,0.0168469
