tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0118058,1.17345,4399.88,-3875.5,46.9595,882.697,0.0593834,1.13783,-0.00302823,-0.208563
0.0116453,1.1945,4399.88,-3875.5,46.7476,883.249,0.0596367,1.1526,-0.00243407,-0.193796
0.01209,1.24525,4399.87,-3875.5,48.285,873.898,0.0583172,1.19938,-0.00160378,-0.147014
0.011829,1.21695,4399.88,-3875.5,47.3377,879.153,0.0590625,1.17982,-0.00181209,-0.166579
0.012141,1.19298,4399.87,-3875.5,48.0807,876.079,0.0582462,1.15834,-0.00243862,-0.188061
0.0117313,1.20935,4399.88,-3875.5,47.1931,880.552,0.0592405,1.16636,-0.00216381,-0.180033
0.0120285,1.17279,4399.88,-3875.5,47.6677,879.722,0.0589199,1.1067,-0.00273965,-0.239693
0.0121025,1.1616,4399.87,-3875.5,49.7917,869.191,0.0576185,1.1124,-0.00276941,-0.233995
0.0119338,1.19078,4399.88,-3875.5,47.3303,880.861,0.0590676,1.1365,-0.00221646,-0.209896
0.012295,1.21664,4399.87,-3875.5,49.275,870.516,0.0574559,1.1519,-0.00210668,-0.1945
0.0117608,1.2346,4399.88,-3875.5,47.009,880.025,0.059096,1.20309,-0.00200171,-0.143308
0.0117308,1.24269,4399.88,-3875.5,47.1351,879.446,0.0593149,1.20581,-0.00182879,-0.140585
0.0121942,1.20352,4399.87,-3875.5,48.8859,872.956,0.0578012,1.13237,-0.00269837,-0.214025
0.0118828,1.19858,4399.88,-3875.5,47.2445,880.616,0.0584661,1.15328,-0.00251583,-0.193119
0.0123479,1.23824,4399.87,-3875.5,49.2713,869.802,0.0578056,1.17643,-0.00165816,-0.169964
0.0123173,1.20215,4399.87,-3875.5,48.8465,873.132,0.0580279,1.14268,-0.0024874,-0.203716
0.0122627,1.23782,4399.87,-3875.5,49.048,870.036,0.0574218,1.19223,-0.00171174,-0.154166
0.0119111,1.16301,4399.88,-3875.5,47.7752,879.071,0.0585582,1.10705,-0.00321443,-0.239349
0.0117147,1.21983,4399.88,-3875.5,46.8718,881.783,0.0594211,1.17338,-0.00171996,-0.173013
0.0121814,1.19634,4399.87,-3875.5,48.5709,874.737,0.0586874,1.14069,-0.00269238,-0.20571
0.0121901,1.19113,4399.87,-3875.5,48.2336,876.518,0.0585915,1.1332,-0.00232877,-0.213195
0.0118233,1.1681,4399.88,-3875.5,47.4051,881.151,0.0594307,1.11032,-0.0034967,-0.236075
0.0118136,1.17065,4399.88,-3875.5,47.6722,879.479,0.0589156,1.11751,-0.00306852,-0.228891
0.0117595,1.22589,4399.88,-3875.5,47.0788,880.592,0.0598653,1.18314,-0.00146538,-0.163255
0.0120061,1.1781,4399.88,-3875.5,47.5075,879.672,0.0588187,1.14216,-0.00222558,-0.204233
0.012286,1.22037,4399.87,-3875.5,49.0305,871.205,0.0581093,1.17045,-0.00193518,-0.175946
0.0120236,1.24813,4399.87,-3875.5,48.2177,874.288,0.0587133,1.20483,-0.00165551,-0.141563
0.0123477,1.19573,4399.87,-3875.5,49.5642,869.914,0.0575776,1.13284,-0.00285321,-0.213552
0.0117387,1.20915,4399.88,-3875.5,46.8878,881.651,0.0592874,1.17286,-0.00203195,-0.173537
0.0123386,1.17829,4399.87,-3875.5,49.3736,871.453,0.0578422,1.10339,-0.00280292,-0.243002
0.0121787,1.1613,4399.87,-3875.5,48.7421,874.834,0.0581651,1.09273,-0.00327483,-0.253669
0.0121814,1.20012,4399.87,-3875.5,48.7905,872.579,0.0569779,1.14345,-0.00182046,-0.20295
0.0124136,1.18818,4399.87,-3875.5,49.4749,870.424,0.0577038,1.12878,-0.00292966,-0.21762
0.0124699,1.21243,4399.86,-3875.5,49.4359,870.102,0.0574832,1.14565,-0.00246666,-0.200748
0.0120955,1.19943,4399.87,-3875.5,48.8317,873.436,0.0583629,1.14331,-0.00249267,-0.203091
0.0121711,1.17313,4399.87,-3875.5,48.2514,876.913,0.0585968,1.10727,-0.00334299,-0.239126
0.0121714,1.18219,4399.87,-3875.5,49.4014,870.996,0.0580023,1.12005,-0.00284664,-0.226343
0.0121998,1.23905,4399.87,-3875.5,48.5616,872.804,0.058374,1.19428,-0.00178357,-0.152121
0.0117561,1.22483,4399.88,-3875.5,46.9214,880.985,0.0594597,1.18694,-0.00193137,-0.159453
0.0121545,1.17791,4399.87,-3875.5,48.3299,876.222,0.0584695,1.11765,-0.0028748,-0.228751
0.0121615,1.1842,4399.87,-3875.5,48.8839,873.446,0.0580481,1.11316,-0.00279884,-0.23324
0.0119706,1.17935,4399.88,-3875.5,47.4624,880.459,0.0589778,1.12164,-0.00281397,-0.224753
