,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0,0.00845456,0.48473,4399.94,-3875.5,34.2111,947.027,0.0693786,0.45341,-5.96394e-05,0.00461128
1,0.00892988,0.436428,4399.93,-3875.5,35.4661,938.944,0.0681969,0.438393,-0.000135706,-0.0104062
2,0.00810067,0.435492,4399.94,-3875.5,32.5415,957.175,0.0706019,0.437446,-0.000431875,-0.0113527
3,0.00868596,0.477383,4399.94,-3875.5,34.6104,944.218,0.0688195,0.454955,4.41312e-05,0.00615642
4,0.00814415,0.481885,4399.94,-3875.5,32.5293,957.634,0.0707049,0.455485,0.000189212,0.00668645
5,0.00847655,0.500239,4399.94,-3875.5,34.0573,947.628,0.0688685,0.461049,-8.8884e-06,0.0122504
6,0.00844196,0.424107,4399.94,-3875.5,33.7011,949.868,0.0695137,0.427762,-0.000179648,-0.0210371
7,0.00845196,0.500184,4399.94,-3875.5,33.4487,952.023,0.0699866,0.4612,-0.000278682,0.0124008
8,0.00841239,0.516976,4399.94,-3875.5,33.3789,952.436,0.0699232,0.463305,-7.67023e-05,0.0145059
9,0.00874205,0.463443,4399.93,-3875.5,35.07,941.101,0.0681339,0.445202,-4.80859e-05,-0.00359716
10,0.008662,0.472883,4399.94,-3875.5,34.5912,944.095,0.0685699,0.449979,-3.65016e-05,0.00118007
11,0.00829525,0.476478,4399.94,-3875.5,32.6915,956.468,0.0706473,0.450372,0.00015564,0.00157289
12,0.00876547,0.477793,4399.93,-3875.5,34.8268,942.844,0.0685047,0.452092,-0.000121859,0.00329337
13,0.00840432,0.409221,4399.94,-3875.5,33.0519,954.015,0.0698904,0.419178,-0.000331575,-0.0296211
14,0.00866086,0.491996,4399.94,-3875.5,34.3947,945.727,0.0691915,0.45842,-0.00018654,0.00962098
15,0.00835584,0.495397,4399.94,-3875.5,34.1941,947.199,0.0693669,0.459264,0.000244106,0.0104655
16,0.00850563,0.419154,4399.94,-3875.5,33.9571,948.221,0.0693044,0.43079,-0.000116233,-0.0180086
17,0.00844547,0.42268,4399.94,-3875.5,33.8039,949.089,0.0692819,0.426543,-0.000655537,-0.0222557
