,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0,0.00845001,0.518512,6599.86,-3875.5,34.0429,806.224,0.0599772,0.492953,0.000372899,0.0441539
1,0.00810224,0.430383,6599.87,-3875.5,32.1258,810.104,0.0610656,0.457982,0.000263709,0.00918286
2,0.00834616,0.415193,6599.86,-3875.5,33.5682,807.322,0.0602688,0.450064,0.000255579,0.00126461
3,0.00862026,0.501279,6599.85,-3875.5,34.1435,805.372,0.0596399,0.486176,0.000527392,0.0373768
4,0.00837455,0.403391,6599.86,-3875.5,33.2426,808.148,0.0603875,0.442108,0.000121063,-0.00669124
5,0.00877053,0.4441,6593.06,-3875.5,35.1382,803.67,0.059598,0.46546,7.06898e-05,0.0166615
6,0.00841645,0.429182,6599.86,-3875.5,33.6878,806.682,0.0600701,0.459399,0.000207377,0.0106005
7,0.00890579,0.43989,6599.85,-3875.5,35.5735,802.082,0.0591536,0.461808,0.000191728,0.0130087
8,0.00803945,0.45247,6599.87,-3875.5,32.1785,809.936,0.0610502,0.46239,0.000455626,0.0135906
9,0.008356,0.448397,6599.86,-3875.5,33.1937,807.888,0.0604773,0.462857,0.000342132,0.0140579
10,0.00820896,0.479824,6599.87,-3875.5,32.6822,808.901,0.0608794,0.471773,0.000187554,0.0229742
11,0.00823699,0.456756,6599.87,-3875.5,33.0083,808.095,0.0602589,0.468137,0.000612729,0.0193385
12,0.00898375,0.437427,6599.84,-3875.5,35.3893,802.531,0.0591252,0.459549,0.000411804,0.0107499
13,0.00811092,0.445268,6599.87,-3875.5,32.5726,809.161,0.0606744,0.458589,8.03883e-05,0.00979039
14,0.00856033,0.499994,6599.86,-3875.5,34.147,805.872,0.0601148,0.488349,0.000264616,0.0395503
15,0.00869368,0.421964,6599.85,-3875.5,34.5326,804.908,0.0596041,0.449012,0.000215851,0.00021319
16,0.00842579,0.415572,6599.86,-3875.5,33.517,807.371,0.0602338,0.449638,0.000309459,0.000839139
17,0.00869958,0.426558,6599.85,-3875.5,34.9116,803.769,0.0592971,0.4557,0.000304381,0.00690146
18,0.00838804,0.414144,6599.86,-3875.5,33.3324,807.683,0.0602015,0.451028,4.08069e-05,0.00222952
19,0.00811981,0.489422,6599.87,-3875.5,32.1439,809.817,0.0610631,0.476497,0.000589613,0.0276981
20,0.00841382,0.504978,6599.86,-3875.5,33.6063,806.612,0.0600489,0.483401,0.000291127,0.0346018
21,0.00826984,0.396133,6599.87,-3875.5,33.1843,808.498,0.060701,0.440449,0.000241145,-0.00834984
22,0.00820804,0.461513,6599.87,-3875.5,32.6567,809.069,0.060904,0.467156,0.000323328,0.0183568
