,Unnamed: 0,Unnamed: 0.1,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate,hole_id
75,75,3240,0.0155202085136603,0.5904143243618697,-5100.394643062801,4399.789720192415,773.7410974260733,0.0457046224964044,0.7580631484856879,0.0046176605533503,0.3092641979728603,83.53543878876985,0.5894819774469527,3986.2511344813706,13
76,76,3318,0.0159019957052065,0.6272822568562331,-5099.699942235804,4399.782393236819,775.5302465024607,0.0462042143941264,0.7924307854904173,0.0050961980888518,0.3436318349775897,82.88549000208205,0.6056510006434878,3687.9456348358417,13
77,77,3353,0.016037918017156,0.5781910086368187,-5100.181246734652,4399.7809872472335,774.9873348326793,0.0459473942032475,0.7440428204422542,0.0044943559469604,0.2952438699294266,83.51278898673489,0.5817736475273362,3634.2797600126114,13
78,78,3383,0.0159931901946972,0.5674103301330716,-5100.310732599336,4399.779126823877,780.5533314336603,0.0467061910922418,0.7272590256379049,0.0039193560586349,0.2784600751250773,81.72612397808265,0.5728964645450708,3564.922925343834,13
79,79,3573,0.0155726702750268,0.5913112733106344,-5099.957914426392,4399.794137374929,777.4304951077097,0.0465644944411735,0.7701158445038051,0.0049023337913635,0.3213168939909775,82.20846810421928,0.5928036771922885,4182.542865519309,13
80,80,3581,0.0163760652652893,0.6035886075426464,-5099.718772481657,4399.77424914196,774.3267885361489,0.0461198519845844,0.7789663752903391,0.0047549636206978,0.3301674247775115,83.54413189169483,0.5988894349938088,3391.591179348488,13
81,81,3690,0.015847103840947,0.5900382052929418,-5099.759854607581,4399.7883766397645,776.3335429089884,0.0461165275679745,0.7775829417233883,0.0049042172761566,0.3287839912105607,82.57130938715753,0.5953843777423301,3929.0959355578975,13
82,82,3782,0.0158996417380598,0.5846889204451615,-5099.634653455057,4399.78278816957,780.0817890914657,0.0468559628882704,0.7846859213424651,0.0044197886725159,0.3358869708296375,81.35122722352897,0.5962438775960532,3703.218145790275,13
83,83,3806,0.0159110201129675,0.6146614957220066,-5099.899880548942,4399.787380240069,775.4871870241212,0.0454258154997333,0.758130996682716,0.0048444661741069,0.3093320461698884,82.94631811027448,0.5921498560164178,3887.443546568697,13
84,84,3814,0.015930112771637,0.5820338903027765,-5099.748709441325,4399.77404434845,777.5991998090955,0.0462449470219572,0.7202171361394969,0.0039886098930651,0.2714181856266693,82.76348157837006,0.572848041725009,3782.267293888861,13
85,85,3821,0.016179599882745,0.6032447496406986,-5100.017764797346,4399.773473168835,773.6578198106588,0.0455955953772454,0.7941362348470683,0.0050488442378608,0.3453372843342407,83.37779318405151,0.6045881764135512,3365.100809655609,13
86,86,3840,0.0158575388079095,0.571432285226843,-5099.591759019334,4399.790583549467,774.9815183034033,0.0463102105577647,0.706205813843106,0.0033538884865402,0.2574068633302784,83.72854440883107,0.5682524031377187,4023.5917625678376,13
87,87,3861,0.0161159017504941,0.5995443790005093,-5099.975959010578,4399.773906639262,774.2981678249328,0.0458187887142142,0.7354147707791601,0.0043726503634627,0.2866158202663325,83.89469365164433,0.5809436853342635,3379.863199084248,13
