,Unnamed: 0,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate,hole_id
21,814,0.0113695176335406,3.1133330586372847,-5100.214892187417,4399.887244016516,853.8041018434174,0.0564591230670997,3.1247622827622545,-0.0003820258719164,-0.0168303708275385,58.98985621351895,3.127499972604852,15748.578227023712,42
22,843,0.0110065299418446,3.136619368908984,-5100.015214403724,4399.895600999398,861.692165388579,0.0574063242802009,3.152208460570684,-0.0001787047970842,0.010615806980891,56.98480552669924,3.147475943701444,18583.17113848425,42
23,866,0.012024543223807,3.0751954407386184,-5099.50456521635,4399.87524376961,850.501504917537,0.056251273377366,3.182167855515743,0.0005532766802417,0.0405752019259497,60.28246172677021,3.146791261289738,12656.923511756064,42
24,894,0.0117248100642944,3.1213242350254644,-5099.892407281035,4399.882000698373,851.589123709002,0.0563921076012496,3.147527951907947,-3.286942287254559e-05,0.0059352983181537,59.82170865331052,3.140390509016855,14277.759634071112,42
25,896,0.0116071954512411,3.1370904747436126,-5099.806464511371,4399.8793614038,852.2277194105222,0.0562659027746527,3.1537123726172696,0.0002509073722048,0.0121197190274764,59.50422284200569,3.149352668413718,13611.099436163906,42
26,987,0.0112999761032504,3.1599554136235533,-5100.188678173993,4399.887982692733,849.9257399688187,0.0559463953297592,3.1546880338935432,-3.672905968971138e-05,0.0130953803037501,59.999097312667736,3.150946737748077,15973.093767280425,42
27,1013,0.0110795060867811,3.153516180845043,-5100.152370254499,4399.890528901009,851.2553870985644,0.0559928815566695,3.161213423959071,0.0001266306915276,0.0196207703692778,59.63401200662732,3.154107505803802,16783.25904634747,42
28,1078,0.0117699824296708,3.155644811860342,-5100.490893039767,4399.880428358579,848.5736572816674,0.0559494812593538,3.1168503373815724,-0.0006169102287801,-0.0247423162082207,60.513211858220544,3.134807620627408,13875.11645299991,42
29,1092,0.0107878527569015,3.115785526361588,-5100.18473151015,4399.899836358598,856.4976575594862,0.055971823406048,3.0926945858557224,-0.0009330356130833,-0.0488980677340706,58.08766892798519,3.113299293913742,20307.08998303992,42
30,1099,0.0108153912308097,3.129306624046955,-5099.627811501043,4399.899307064572,860.8754321581357,0.0571715590873409,3.125123581151651,-6.725784816320137e-05,-0.0164690724381419,57.149629004867805,3.1305633766395142,20079.344926797767,42
31,1107,0.0110861536979483,3.1714356724107517,-5100.423432089695,4399.894703890563,855.2443407049925,0.0570644570126279,3.164028705747166,0.0003736726470159,0.0224360521573729,58.82004434126754,3.155987349026897,18245.21110737419,42
32,1152,0.011640671034063,3.1815212863380458,-5099.8877709931,4399.87852870411,857.9801149724938,0.056587212251799,3.177672890629225,0.0004328218928678,0.0360802370394317,58.177388830772536,3.1670553857555084,13410.021065920197,42
33,1178,0.0107283116080377,3.134294337994464,-5100.471591580887,4399.899808963717,860.861114326571,0.0574738344661639,3.12150360292794,-0.0001768131812887,-0.0200890506618534,57.18086466952534,3.132703323799844,20295.21130232023,42
34,1186,0.0114712070260232,3.140652616082352,-5099.997297030786,4399.887600477584,855.6566574726054,0.0568838332069236,3.120878781411877,0.0001388954230574,-0.0207138721779163,58.77657344859183,3.1306697528925027,15856.352237627356,42
35,1208,0.0110351993768906,3.169050293476022,-5100.130267631988,4399.890552835759,855.1243712484259,0.0567912349121037,3.1859035916507112,4.8284356880520206e-05,0.0443109380609181,58.74621667694249,3.165763985990505,16791.15242187747,42
36,1214,0.0117209690156992,3.1633022832705464,-5100.400099070007,4399.881025413814,852.4579624172239,0.0562772856447524,3.1359499395194748,0.00011666445189,-0.0056427140703183,59.53461436493427,3.1437597307075027,14026.069582964512,42
37,1215,0.0109630122882409,3.1345234826944823,-5099.712055737325,4399.8958045628215,859.2969220728356,0.0571757004389718,3.151326088614851,-0.0002336553711498,0.0097334350250579,57.54665885716624,3.145911856617982,18661.111716232463,42
38,1229,0.0114655047285502,3.161359700303366,-5099.574977875856,4399.881512883757,850.2525395920219,0.0558565417997353,3.158603772686302,-2.2102749998007675e-06,0.0170111190965087,59.87376085546698,3.15325734110768,14151.067967157893,42
39,1251,0.011567855318442,3.103763636047289,-5100.209516834452,4399.882328209965,850.303697801893,0.0557144751181763,3.105245791774476,-0.0003409384182688,-0.0363468618153177,59.95856904956717,3.117718957695649,14363.732911004876,42
40,1340,0.0116955572851798,3.1525447989176403,-5099.709048015961,4399.882882123802,847.8677507894872,0.0559245729175248,3.1439653846205218,-9.291843912833493e-05,0.0023727310307286,60.60717686756909,3.14689203508472,14510.836180343298,42
41,1366,0.0111046498244975,3.1443858334725525,-5099.746618633551,4399.891968616224,857.1661210361692,0.0570429640228171,3.124113887184306,-0.0005980090363768,-0.0174787664054871,58.143962083237184,3.1341341427216785,17267.723319604713,42
42,1372,0.0119158113724232,3.1331013806201216,-5100.296022179064,4399.878430941672,851.0838859533898,0.0563351588150438,3.167823579029429,0.0010774641054476,0.026230925439636,59.94475163314629,3.1542132155761595,13386.693196901457,42
43,1447,0.0115428315980053,3.1810824823539776,-5100.3936920820015,4399.883788347884,857.1446580959606,0.0568788669532382,3.1870983121286622,0.000116862608388,0.0455056585388691,58.48604575755132,3.1688967849605167,14756.202082083484,42
44,1576,0.011916605840987,3.1089201671949667,-5100.018220896796,4399.877712038872,849.0229046038163,0.0563192138642463,3.129698670446412,-6.207453136097112e-05,-0.0118939831433815,60.48726833002642,3.1300536676770494,13216.921577307476,42
45,1581,0.011216292885087,3.1172715742987918,-5099.554904585676,4399.889371139255,850.9393696609494,0.0561732934804143,3.12127777366701,-0.000137144053405,-0.020314879922783,59.58159400856876,3.128214432203795,16407.72508219975,42
46,1582,0.0110859093245902,3.1364609921677453,-5099.533837727194,4399.895613208374,860.333727008986,0.0572967398337367,3.0994354034735303,-0.0006912216978157,-0.0421572501162628,57.48745269817736,3.118967542872225,18587.83249547661,42
47,1632,0.011439963248403,3.135344209213018,-5100.458136799175,4399.886770437573,848.5596971352002,0.056031331280545,3.138498755735781,0.0004179532591094,-0.0030938978540122,60.41840207478712,3.140350267918453,15607.014623315794,42
48,1654,0.0115776277029433,3.136104860673129,-5100.267671962681,4399.884376497084,853.1470479942047,0.0564609309682015,3.164510834562561,0.0002978085309781,0.0229181809727681,59.09093421527968,3.1552204897530984,14918.64394518237,42
