,hole_id,center_r,center_ph,eccentricity
0,13,776.1386160557677,0.7530453395400826,-0.012602663537607674
1,12,866.5486706879354,0.2320524230479156,-0.007661953876656666
2,11,972.9135804769073,0.4492330822344735,0.0012090831321674397
3,23,803.954379363657,1.3511190664138923,-0.009914705566017553
4,22,873.9406501772913,1.551713963458011,0.007831334374264344
5,21,898.9732970742341,1.2031895801806627,0.00581053122936037
6,33,789.3641665369308,1.9300001519144292,0.010392218885169495
7,32,846.7847315775388,2.5004510188450175,0.009381356363080809
8,31,950.9923933615952,2.241980047467045,0.0023228390733819114
9,43,822.3299696345696,3.431374909343209,0.010542504906247132
10,42,854.5366347167238,3.1402135034483885,-0.008764400324372866
11,41,899.7844365106332,2.997613285526149,0.005690219160431023
12,53,789.9893864115586,4.044007916015437,0.012731641040555828
13,52,874.4972198501207,3.8416879934224193,0.007670612413844743
14,51,874.4498838810373,4.239969506865854,-0.007605606709643784
15,63,805.5893003145927,4.633149201483053,0.010423708548441102
16,62,858.466773838271,5.172645166739413,-0.01030976276663786
17,61,950.4650463510275,4.937091671286095,0.0019432502456136994
18,73,775.8401261466823,5.5200672823641534,0.013208755726426751
19,72,829.8602499686855,6.12104069767189,-0.01092853191702674
20,71,925.2857527455363,5.836101675510847,-0.003679346927466917
