,Unnamed: 0,Unnamed: 0.1,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate,hole_id,Unnamed: 0.1.1
344,132,4698,0.0082093953063422,5.899485159267354,-5100.209870738982,4399.943142227487,926.8415178066356,0.06609406784439,5.856418372966144,0.000213669306669,0.0220320162993852,42.645164660923086,5.875552798643231,67165.22355655515,71,
345,133,4703,0.0083216149765537,5.80272060482337,-5099.824460348057,4399.937763121571,919.9574486467404,0.0653560121742693,5.800107454049481,-0.0002943495099481,-0.0342789026172773,44.15721894935764,5.791884148377078,55587.66845118545,71,
346,134,4783,0.008052134047469,5.816723252659931,-5099.529196492178,4399.942865753568,931.0840114483308,0.0668985042250212,5.807231441209025,-0.0002330015288885,-0.0271549154577339,41.89810529471757,5.793512525473576,66487.70506754864,71,
347,135,4792,0.0083821744599483,5.89121204728367,-5099.807758106022,4399.938661914616,926.277592053258,0.0663001874397661,5.853969492573546,0.0001896517925388,0.019583135906787,42.98126821539864,5.870732862394717,57308.30388242186,71,
348,136,4809,0.0083041350093309,5.802989418102538,-5099.664176359092,4399.938926965967,924.2383029075,0.0657649646248175,5.803824539984356,-6.856102280515545e-05,-0.0305618166824022,43.17021533171624,5.793135301753112,57830.57714617518,71,
349,137,4818,0.0084424811907753,5.86148393627603,-5099.552301489312,4399.939899060142,919.1998883857073,0.065248729803656,5.860348121292648,0.0003071954092793,0.0259617646258893,44.22161544750899,5.870379250527622,59806.7919776356,71,
350,138,4822,0.0082769537875406,5.892777141554752,-5100.098835708441,4399.9420587859695,931.459309611227,0.0669537464923249,5.831555571588688,-0.000340369259598,-0.0028307850780704,41.92981717334099,5.845525621759136,64566.40641164085,71,
351,139,4843,0.0085793358479516,5.793588682545181,-5099.542855968712,4399.935870662276,919.4093917390936,0.0623122998333603,5.805488030379239,-0.0022129999177096,-0.0288983262875195,43.87756988490706,5.793321852251179,52203.086901005714,71,
352,140,4887,0.0085127660911149,5.804135886434405,-5099.8173271027945,4399.937697814292,920.8065867432324,0.0656813856403083,5.797286774863521,-3.646767684362805e-05,-0.037099581803238,44.052537330383366,5.791345019008497,55465.598351467066,71,
353,141,4895,0.0086684119275429,5.817958562129555,-5099.556219587009,4399.930826149526,916.4263228208742,0.0647516285849727,5.824148694311376,-3.872042068421598e-05,-0.010237662355383,44.867010793746985,5.819787072768428,44524.56638265738,71,
