tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0181529,-1.46599,4399.72,-3875.5,71.7393,788.056,0.0462813,4.67396,-0.00416552,-0.262828
0.0182569,-1.46076,4399.71,-3875.5,72.6483,786.495,0.0457259,4.69664,-0.00357092,-0.240147
0.0181373,-1.52351,4399.71,-3875.5,71.8115,785.194,0.0458679,4.59752,-0.00451098,-0.339265
0.0182135,-1.47856,4399.71,-3875.5,72.3747,785.883,0.0458532,4.66559,-0.00380047,-0.271203
0.0179288,-1.48424,4399.72,-3875.5,71.2051,788.105,0.0460563,4.64676,-0.00420338,-0.290025
0.018202,-1.50646,4399.71,-3875.5,72.4535,783.609,0.0457264,4.60318,-0.004729,-0.33361
0.0180234,-1.49762,4399.72,-3875.5,71.7182,785.79,0.0456963,4.61701,-0.00461647,-0.31978
0.018274,-1.48269,4399.71,-3875.5,72.2274,786.306,0.0458132,4.66158,-0.00410029,-0.275212
0.0182657,-1.47338,4399.71,-3875.5,72.429,786.41,0.0458245,4.68118,-0.00383882,-0.255612
0.0180224,-1.48992,4399.72,-3875.5,72.2664,785.073,0.045564,4.64031,-0.00467679,-0.296474
0.0178462,-1.49397,4399.72,-3875.5,71.0447,788.438,0.0464179,4.63643,-0.00450842,-0.300359
0.01841,-1.47983,4399.71,-3875.5,72.9268,784.703,0.0461132,4.66329,-0.00413174,-0.2735
0.0180515,-1.45897,4399.72,-3875.5,72.253,787.635,0.0463657,4.7036,-0.00359405,-0.233188
0.0184692,-1.4699,4399.7,-3875.5,73.2045,785.311,0.0460749,4.69645,-0.00319773,-0.240334
0.0178049,-1.51947,4399.73,-3875.5,72.1416,783.873,0.0453286,4.59332,-0.00500579,-0.343466
0.0181849,-1.47397,4399.72,-3875.5,72.3975,786.088,0.0462454,4.66455,-0.00361109,-0.272239
0.0181833,-1.47422,4399.72,-3875.5,72.1909,787.055,0.0461467,4.67902,-0.00376748,-0.257766
0.0181178,-1.47593,4399.72,-3875.5,72.0556,786.748,0.0456127,4.66905,-0.00395409,-0.267743
0.0179224,-1.47434,4399.72,-3875.5,71.3286,789.489,0.0467522,4.67487,-0.00362197,-0.261922
0.0183487,-1.49331,4399.71,-3875.5,73.3015,782.119,0.0452534,4.6316,-0.00463172,-0.305184
0.0184621,-1.47751,4399.71,-3875.5,73.2084,784.322,0.045592,4.67369,-0.00411154,-0.2631
0.0182565,-1.4765,4399.71,-3875.5,72.8782,785.032,0.0457953,4.67161,-0.00354897,-0.265179
0.0183198,-1.49155,4399.71,-3875.5,72.9542,789.033,0.0460762,4.63441,-0.00423025,-0.302374
0.018088,-1.46685,4399.72,-3875.5,72.0872,787.391,0.0459774,4.68463,-0.0037629,-0.25216
0.0179507,-1.47171,4399.72,-3875.5,72.0155,787.722,0.0460911,4.68731,-0.00347544,-0.249476
0.0184589,-1.49212,4399.7,-3875.5,73.7338,781.569,0.0453044,4.64351,-0.0044373,-0.293276
