,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate
83,0.015642047885251868,0.5756417122098695,-5124.4744250664935,4399.789760597534,776.7612809189267,0.04638758715958411,0.7082020392919913,0.0036520210132575167,0.25940308877916374,84.60806103577289,0.568422796474602,1012.9489214552601
119,0.015439482089401052,0.5888469415564478,-5124.463053092356,4399.791777556351,776.0968360236088,0.04653427167844581,0.7844511064469033,0.004692398125138657,0.3356521559340757,84.08986142673724,0.5981314465272368,1035.3145124925227
171,0.0158870457592767,0.6132184494378468,-5124.388132465926,4399.781524715643,774.5317177291108,0.04625285287291331,0.7897441626776341,0.0054710257158870025,0.34094521216480655,84.71666869743217,0.6028316903292593,928.2850707848453
192,0.01543079110328295,0.6140421952938674,-5124.452067750107,4399.792322694832,776.638758163928,0.04643127930212194,0.7864122765070423,0.004658616710371924,0.3376133259942147,83.85776019952851,0.6024521077387358,1041.4775226247687
206,0.01572923766283417,0.5817032619464559,-5124.573422951331,4399.785027507685,778.3898510677542,0.046590409539752624,0.7399569614144305,0.004290425879176701,0.29115801090160287,83.85277277417406,0.5815847399657467,963.0414709489444
224,0.015765139040431676,0.6106419631646104,-5124.426362349225,4399.783897853308,775.1992865460993,0.0464485352133479,0.8195234196569072,0.0056868072981605,0.37072446914407964,84.09993790730718,0.6132958038161567,951.6375832488211
443,0.015813158375944866,0.6118739803129347,-5124.533939665584,4399.782947508913,773.3598432234844,0.04612522353254861,0.7949168248070434,0.005081239415800836,0.3461178742942158,85.00610000659871,0.605310221735438,942.1888428246154
465,0.0159437798335499,0.5784501036068471,-5124.44857749469,4399.783555565773,772.0934238459447,0.04588997111295227,0.7595306980285392,0.004698546730199228,0.31073174751571164,85.90978576669767,0.5865724460791337,948.2192848348631
476,0.015328270752097438,0.5960965327544354,-5124.426879792309,4399.79829679329,777.9778961746468,0.046589677335733534,0.7799773272890633,0.004658912832642707,0.33117837677623574,83.35938900628705,0.5973373998978003,1112.503013440038
619,0.015556185950930529,0.5974778749740702,-5124.442761805066,4399.787662119943,773.8430744245593,0.04594135562974145,0.7948251204382927,0.005049560627386152,0.3460261699254651,84.70967950415093,0.6029467385673538,990.3877340758061
