tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0145125,-0.281447,4399.82,-4499.87,65.4623,825.764,0.0520534,6.17091,0.00491911,0.336519
0.0138732,-0.323191,4399.83,-4499.87,64.9657,826.762,0.0521102,6.10083,0.00420187,0.26644
0.0145077,-0.307078,4399.82,-4499.87,65.5949,825.291,0.0520385,6.11976,0.00399974,0.285373
0.0145199,-0.281151,4399.82,-4499.87,65.5206,825.289,0.0519736,6.15361,0.00451874,0.319219
0.0143099,-0.30097,4399.83,-4499.87,66.0079,823.422,0.0518391,6.13172,0.0045089,0.297329
0.0144838,-0.297526,4399.82,-4499.87,66.3322,822.044,0.0513276,6.13962,0.00425276,0.305233
0.0143801,-0.283611,4399.82,-4499.87,65.8433,823.841,0.0517314,6.10259,0.0038306,0.268207
0.0141175,-0.369507,4399.83,-4499.87,65.4006,825.154,0.0518904,6.10175,0.00356876,0.267362
0.0143785,-0.329724,4399.82,-4499.87,66.8895,819.289,0.051191,6.07626,0.00377308,0.241872
0.0142554,-0.30134,4399.82,-4499.87,65.5078,824.865,0.0515226,6.13346,0.00393935,0.299071
0.014274,-0.290179,4399.82,-4499.87,66.6292,820.706,0.0512133,6.12482,0.00393201,0.290434
0.0141033,-0.34792,4399.83,-4499.87,65.2376,825.281,0.0520856,6.07555,0.00337511,0.241168
0.0144927,-0.31112,4399.82,-4499.87,66.7811,820.398,0.0509676,6.14357,0.00441927,0.309181
0.0145581,-0.293061,4399.82,-4499.87,66.0537,823.517,0.0519038,6.09601,0.0039748,0.261626
0.014777,-0.304723,4399.81,-4499.87,67.4525,818.61,0.051442,6.10776,0.00349242,0.273378
0.0141424,-0.304669,4399.83,-4499.87,64.6738,828.39,0.0524946,6.11311,0.00381248,0.278727
0.0142031,-0.316994,4399.83,-4499.87,64.9445,827.215,0.0522226,6.11559,0.00404293,0.281205
0.0139252,-0.328605,4399.83,-4499.87,64.3584,828.486,0.0524096,6.0776,0.00287075,0.243209
0.0139957,-0.288311,4399.83,-4499.87,65.7451,823.854,0.0515992,6.12768,0.0039815,0.29329
0.0143939,-0.316577,4399.82,-4499.87,66.596,821.056,0.0515955,6.09649,0.00371191,0.262103
