tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0117392,2.38283,6599.73,-5124.5,61.3049,753.565,0.0494885,2.46656,0.0024547,0.222562
0.0116953,2.42701,6599.73,-5124.5,61.1469,754.37,0.0494756,2.5203,0.00309971,0.276306
0.0116212,2.3917,6599.74,-5124.5,60.6558,751.862,0.0493915,2.46443,0.00239661,0.220434
0.0114391,2.35347,6599.74,-5124.5,60.3073,750.052,0.0493491,2.43167,0.00205638,0.187674
0.0114179,2.38539,6599.75,-5124.5,59.8242,753.946,0.0500271,2.46075,0.00228448,0.21676
0.0115206,2.36116,6599.75,-5124.5,60.2678,749.982,0.0495489,2.42478,0.00202058,0.18078
0.0117951,2.34301,6599.73,-5124.5,61.845,745.975,0.0487977,2.42671,0.00206607,0.182712
0.0116464,2.39816,6599.74,-5124.5,60.9158,752.423,0.0494814,2.48179,0.00242335,0.237795
0.0116391,2.35449,6599.74,-5124.5,60.4783,748.873,0.0494247,2.41048,0.00163192,0.166481
0.0115234,2.40527,6599.74,-5124.5,60.4878,752.626,0.0496167,2.46908,0.00239676,0.225086
0.0119742,2.35691,6599.72,-5124.5,62.247,748.839,0.0490899,2.47882,0.002442,0.234828
0.012068,2.35156,6599.72,-5124.5,62.3449,745.419,0.048687,2.43488,0.00202188,0.190889
0.0118795,2.39981,6599.73,-5124.5,62.7419,747.086,0.0485837,2.48004,0.00256057,0.236042
0.0116109,2.37658,6599.74,-5124.5,60.3806,750.079,0.0493057,2.4317,0.00179792,0.187708
0.0116175,2.3505,6599.74,-5124.5,61.3077,746.161,0.0490604,2.40248,0.00179684,0.15849
0.0119588,2.41828,6599.72,-5124.5,61.5491,752.464,0.0493759,2.50432,0.00274084,0.260328
0.0116162,2.39804,6599.74,-5124.5,60.8949,754.662,0.0497419,2.51338,0.00295367,0.269385
0.0117348,2.34169,6599.73,-5124.5,61.3787,748.506,0.0492057,2.41769,0.00179957,0.173697
0.0121495,2.36891,6599.71,-5124.5,62.8652,744.834,0.048702,2.44403,0.00208538,0.200035
0.0114681,2.36541,6599.75,-5124.5,60.802,748.881,0.0491029,2.43416,0.00198671,0.190167
0.0115337,2.35223,6599.74,-5124.5,60.2122,750.988,0.0495412,2.4361,0.00203795,0.192108
0.0115648,2.40793,6599.74,-5124.5,60.8398,753.144,0.0495412,2.49176,0.0025697,0.247767
