,hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
10557,33,0.0194587,2.08625,4399.67,-3875.51,80.1445,771.964,0.0439359,1.91423,-0.00501583
10558,33,0.0192645,2.12777,4399.68,-3875.58,79.0496,777.486,0.0441579,1.99219,-0.00349576
10559,33,0.0193013,2.26634,4399.68,-3875.45,81.1111,773.817,0.0435723,1.99061,-0.00392072
10560,33,0.0195805,2.12157,4399.67,-3875.57,79.9911,776.311,0.0437445,2.00373,-0.00328347
10561,33,0.0194037,2.08088,4399.67,-3875.39,80.0684,771.64,0.0439529,1.90658,-0.00473274
10562,33,0.0194425,2.09843,4399.67,-3875.52,80.2116,774.266,0.0440117,1.95235,-0.00446116
10563,33,0.0193498,2.0871,4399.68,-3875.49,80.0119,773.417,0.043926,1.93404,-0.00464586
10564,33,0.0192932,2.11058,4399.68,-3875.38,79.656,775.786,0.0437721,1.98311,-0.00369296
10565,33,0.019195,2.1007,4399.68,-3875.6,79.7329,776.03,0.0440573,1.98674,-0.00336102
10566,33,0.0192046,2.1004,4399.68,-3875.39,79.2069,775.498,0.0442104,1.94081,-0.00448909
10567,33,0.0194396,2.09407,4399.67,-3875.61,79.7933,773.51,0.0439803,1.9299,-0.00492574
10568,33,0.0195406,2.10561,4399.67,-3875.43,80.8168,773.567,0.0438941,1.96411,-0.00370064
10569,33,0.0192034,2.09149,4399.68,-3875.52,79.3785,774.536,0.0438491,1.93261,-0.00442593
10570,33,0.0193432,2.10968,4399.67,-3875.54,79.6653,775.855,0.0441781,1.97271,-0.00420492
10571,33,0.0190445,2.11534,4399.69,-3875.43,78.8227,777.56,0.0442846,1.9778,-0.00428359
10572,33,0.0193306,2.12205,4399.68,-3875.58,80.16,775.633,0.0440856,1.99263,-0.00350249
10573,33,0.0194621,2.08232,4399.67,-3875.55,80.2884,771.174,0.0434519,1.91091,-0.00506986
10574,33,0.0195213,2.10627,4399.67,-3875.44,80.846,773.402,0.0436796,1.96402,-0.00390962
10575,33,0.0192225,2.12177,4399.68,-3875.59,79.2789,777.817,0.0444577,2.00061,-0.00311461
10576,33,0.0197387,2.09202,4399.66,-3875.6,81.3765,771.465,0.0431284,1.94869,-0.00462271
10577,33,0.019427,2.10588,4399.67,-3875.4,79.8447,775.216,0.0440659,1.97322,-0.00378099
10578,33,0.0192669,2.10055,4399.68,-3875.43,79.6128,775.68,0.0445329,1.9534,-0.00433904
10579,33,0.019679,2.11975,4399.67,-3875.52,80.943,773.927,0.0432481,1.99605,-0.00391909
10580,33,0.0196681,2.10964,4399.67,-3875.47,81.0832,773.443,0.0440457,1.97402,-0.00400909
10581,33,0.0194622,2.11214,4399.67,-3875.5,79.9092,775.741,0.0441638,1.98554,-0.00360446
10582,33,0.0196125,2.09609,4399.67,-3875.5,81.382,771.616,0.0429067,1.95479,-0.00417468
10583,33,0.0193307,2.09211,4399.67,-3875.43,80.0149,773.547,0.0436363,1.93733,-0.00476927
10584,33,0.0192666,2.08275,4399.68,-3875.43,79.1167,775.226,0.0443327,1.932,-0.00471801
10585,33,0.0192989,2.0807,4399.68,-3875.56,80.1344,771.607,0.0440148,1.90908,-0.00473993
10586,33,0.0191091,2.09316,4399.68,-3875.42,78.6659,776.791,0.0446329,1.9411,-0.00438563
10587,33,0.0190976,2.1119,4399.68,-3875.45,78.7162,777.919,0.044561,1.98239,-0.0034332
10588,33,0.019611,2.10583,4399.67,-3875.46,81.1223,773.127,0.0436516,1.9767,-0.00418995
10589,33,0.0191951,2.10687,4399.69,-3875.46,78.9253,776.946,0.044411,1.96365,-0.0041235
10590,33,0.0197808,2.08957,4399.66,-3875.49,80.4436,771.261,0.0432848,1.91864,-0.00486179
10591,33,0.0192167,2.09086,4399.68,-3875.62,79.4364,773.341,0.0438043,1.91785,-0.00475726
10592,33,0.0191424,2.11325,4399.69,-3875.38,79.0959,777.21,0.044614,1.97863,-0.00425479
10593,33,0.019486,2.1196,4399.67,-3875.53,80.2691,775.466,0.0444377,1.98565,-0.00392643
10594,33,0.0197189,2.12286,4399.66,-3875.55,80.7263,775.089,0.0442214,1.99729,-0.00345091
10595,33,0.0193276,2.12699,4399.68,-3875.49,79.6476,777.661,0.0443422,2.01179,-0.00317443
10596,33,0.0191494,2.11524,4399.68,-3875.4,79.4158,776.867,0.0442457,1.99107,-0.00358147
10597,33,0.0191923,2.12562,4399.68,-3875.54,79.143,777.388,0.0444033,1.98956,-0.00383116
10598,33,0.0194843,2.09411,4399.67,-3875.54,80.6305,773.167,0.0436787,1.95108,-0.00435419
10599,33,0.0194059,2.077,4399.67,-3875.54,79.9621,772.383,0.0439603,1.9169,-0.0044979
10600,33,0.0191267,2.11287,4399.68,-3875.56,79.1656,776.607,0.0439244,1.97665,-0.00388918
10601,33,0.0194051,2.10253,4399.67,-3875.54,80.3087,774.093,0.0445278,1.94879,-0.00411901
10602,33,0.0191975,2.09372,4399.68,-3875.46,79.0545,774.623,0.0438392,1.92589,-0.00444421
10603,33,0.0193357,2.09018,4399.67,-3875.39,79.5802,774.534,0.0439405,1.93925,-0.00426641
10604,33,0.019678,2.0973,4399.67,-3875.58,81.1248,771.359,0.0435833,1.93457,-0.00457151
10605,33,0.0195759,2.09161,4399.67,-3875.38,80.801,771.638,0.0436126,1.93018,-0.00467656
10606,33,0.0196409,2.11383,4399.67,-3875.48,80.6639,774.01,0.0437858,1.97806,-0.00377117
10607,33,0.0194601,2.08244,4399.67,-3875.58,80.1626,772.0,0.0435748,1.91931,-0.00499401
10608,33,0.0196595,2.1081,4399.67,-3875.41,80.8584,773.575,0.0437063,1.96612,-0.00404127
10609,33,0.0193035,2.10081,4399.68,-3875.58,79.5543,775.024,0.0437766,1.94945,-0.00420563
10610,33,0.0191911,2.08307,4399.68,-3875.42,79.1339,775.346,0.0441392,1.93766,-0.00469572
10611,33,0.0197353,2.088,4399.67,-3875.5,80.928,771.91,0.0437201,1.93474,-0.0049054
10612,33,0.0197564,2.11286,4399.66,-3875.6,81.4351,773.106,0.0442076,1.97507,-0.00393067
10613,33,0.0192115,2.0916,4399.68,-3875.53,79.302,773.906,0.0440799,1.92079,-0.00471086
10614,33,0.0193127,2.08614,4399.68,-3875.49,79.773,772.953,0.0439814,1.92029,-0.00479245
10615,33,0.0195056,2.09281,4399.67,-3875.58,80.736,771.431,0.0435572,1.92627,-0.00438193
10616,33,0.0190703,2.11947,4399.69,-3875.42,79.0722,777.719,0.0445788,1.99081,-0.00374229
10617,33,0.018921,2.09331,4399.69,-3875.62,78.7077,776.298,0.0443221,1.93782,-0.00432423
10618,33,0.0193289,2.09454,4399.68,-3875.55,80.1792,773.71,0.0438938,1.94299,-0.00477846
10619,33,0.0195698,2.10903,4399.67,-3875.5,80.8937,773.09,0.0432748,1.97105,-0.00356308
10620,33,0.0195854,2.08869,4399.67,-3875.56,81.1474,770.974,0.0433837,1.9351,-0.00477655
10621,33,0.0193785,2.07793,4399.68,-3875.59,80.122,771.245,0.043934,1.90523,-0.0047989
10622,33,0.0194842,2.08828,4399.67,-3875.62,78.9933,775.83,0.0440566,1.94104,-0.00420094
10623,33,0.0193789,2.07991,4399.68,-3875.45,79.8592,772.963,0.0442173,1.9194,-0.00494244
10624,33,0.019362,2.09882,4399.68,-3875.58,80.234,773.033,0.043364,1.94302,-0.00374972
10625,33,0.0196955,2.11126,4399.66,-3875.44,81.3642,772.881,0.0437578,1.97748,-0.00382503
10626,33,0.0196502,2.09548,4399.66,-3875.45,81.0274,772.178,0.0434002,1.95145,-0.00452167
10627,33,0.0195919,2.09891,4399.65,-3875.46,80.8593,772.439,0.0435096,1.9463,-0.00417574
10628,33,0.0191511,2.12211,4399.68,-3875.54,78.9736,778.032,0.0442266,1.99738,-0.00395018
10629,33,0.019091,2.10783,4399.69,-3875.47,78.7722,777.308,0.0446544,1.95724,-0.00370299
10630,33,0.0196224,2.10022,4399.67,-3875.61,81.0113,772.657,0.0436497,1.95234,-0.00443915
10631,33,0.0193251,2.08713,4399.68,-3875.39,79.6449,774.411,0.0440089,1.93722,-0.0045138
10632,33,0.0194733,2.12812,4399.67,-3875.6,80.3873,776.224,0.0441798,2.00907,-0.00333656
10633,33,0.0193314,2.10751,4399.67,-3875.57,79.7558,775.534,0.043751,1.97631,-0.00423477
10634,33,0.0192728,2.11037,4399.68,-3875.61,79.6452,775.52,0.0440123,1.96617,-0.00395038
10635,33,0.0192601,2.12158,4399.68,-3875.54,79.7272,777.351,0.0442953,2.00899,-0.00280313
10636,33,0.0197056,2.10098,4399.67,-3875.39,81.1201,773.016,0.0437789,1.96184,-0.00402705
10637,33,0.019338,2.10454,4399.68,-3875.4,79.9147,775.315,0.0442807,1.96591,-0.00449356
10638,33,0.0194025,2.09024,4399.67,-3875.45,80.0768,773.292,0.0436699,1.93646,-0.00466253
10639,33,0.0196005,2.09639,4399.67,-3875.42,80.7518,772.376,0.0433288,1.9442,-0.00427714
10640,33,0.0194722,2.09613,4399.67,-3875.59,80.0488,774.401,0.0437898,1.95646,-0.00496133
10641,33,0.0195957,2.10959,4399.67,-3875.53,81.2998,773.174,0.0436376,1.98311,-0.00379679
10642,33,0.0195152,2.11269,4399.67,-3875.45,80.9216,773.512,0.043593,1.97657,-0.00368448
10643,33,0.0193862,2.12234,4399.68,-3875.56,79.702,777.183,0.0443677,2.00533,-0.0038014
10644,33,0.0196104,2.12776,4399.66,-3875.5,80.4405,776.218,0.0442842,2.00956,-0.0032241
10645,33,0.0191564,2.08275,4399.68,-3875.56,78.8492,775.148,0.044256,1.92376,-0.00465317
10646,33,0.0196827,2.09447,4399.66,-3875.57,81.1159,772.121,0.0434629,1.95042,-0.00419425
10647,41,0.0116445,3.01328,4399.88,-3875.58,48.5287,882.181,0.0598795,2.98587,-0.00160711
10648,41,0.0118386,3.02972,4399.88,-3875.44,49.1316,879.076,0.0591012,2.98168,-0.00193634
10649,41,0.0118398,3.00367,4399.88,-3875.38,48.8633,880.425,0.0591713,2.97142,-0.00201721
10650,41,0.0124268,3.00311,4399.87,-3875.44,51.4226,869.265,0.0574923,2.93826,-0.00267529
10651,41,0.0122928,2.9975,4399.87,-3875.5,51.1279,870.979,0.0578298,2.93553,-0.00293997
10652,41,0.0118988,2.99184,4399.88,-3875.46,48.9005,880.536,0.059504,2.96988,-0.00177881
10653,41,0.0116967,2.99927,4399.88,-3875.41,48.3418,883.24,0.0599143,2.96862,-0.00218615
10654,41,0.0122511,3.02582,4399.87,-3875.4,50.785,871.617,0.0582002,2.96473,-0.00230719
10655,41,0.011548,2.98836,4399.88,-3875.49,48.4543,881.632,0.0595605,3.0288,-0.00149028
10656,41,0.0118828,3.00719,4399.88,-3875.52,49.4749,877.802,0.0587092,2.9556,-0.00238257
10657,41,0.0122198,3.0182,4399.87,-3875.54,50.4604,872.9,0.0581614,2.96071,-0.00180601
10658,41,0.0120242,2.95613,4399.88,-3875.54,49.8234,877.944,0.0584711,2.90733,-0.00295108
10659,41,0.0120501,3.03019,4399.87,-3875.56,49.283,878.306,0.0590655,2.98515,-0.00174207
10660,41,0.0120203,2.9566,4399.87,-3875.49,49.7556,877.938,0.0578141,2.89952,-0.00290286
10661,41,0.0121042,2.96375,4399.87,-3875.41,50.3018,875.692,0.0580573,2.90682,-0.00272634
10662,41,0.0122921,2.98496,4399.87,-3875.45,50.9719,871.508,0.0579438,2.93937,-0.00243544
10663,41,0.0119979,2.96471,4399.87,-3875.39,49.6036,879.064,0.0586114,2.90794,-0.00300115
10664,41,0.0119442,2.9629,4399.88,-3875.58,49.5302,879.019,0.0584759,2.91849,-0.00263245
10665,41,0.0118505,2.98667,4399.88,-3875.44,48.4688,883.724,0.0594753,2.93838,-0.00251588
10666,41,0.0124076,2.98535,4399.87,-3875.47,50.911,872.786,0.0579196,2.90898,-0.00272731
10667,41,0.0117115,3.03062,4399.88,-3875.61,48.5939,881.338,0.0593881,2.99968,-0.00175209
10668,41,0.0115858,2.99947,4399.88,-3875.52,48.1365,883.88,0.0598425,2.97171,-0.00210838
10669,41,0.0118456,3.01908,4399.88,-3875.61,48.922,880.971,0.0604337,2.9846,-0.00230116
10670,41,0.011858,3.02521,4399.88,-3875.43,49.13,878.972,0.0591702,2.9878,-0.00163037
