tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
0.0192423,2.11387,4399.68,-3875.4,79.4833,776.344,0.0440485,1.98416,-0.0040866
0.0194039,2.08243,4399.67,-3875.59,80.5666,771.888,0.0439283,1.92698,-0.00414889
0.0193925,2.10996,4399.68,-3875.56,80.2183,774.908,0.0441747,1.97371,-0.00370293
0.0191058,2.10731,4399.68,-3875.63,78.9092,777.15,0.0446346,1.96739,-0.00395515
0.0194833,2.09418,4399.67,-3875.47,80.4064,773.069,0.0437849,1.93996,-0.00448763
0.0192197,2.10328,4399.68,-3875.57,79.1991,776.262,0.0441019,1.96333,-0.00422675
0.0189656,2.10817,4399.69,-3875.56,78.5806,777.446,0.0441849,1.96722,-0.00431705
0.0195517,2.10574,4399.67,-3875.43,80.3686,773.843,0.0435143,1.96124,-0.00383803
0.0191611,2.10618,4399.68,-3875.45,78.8496,777.218,0.0445209,1.96527,-0.00384756
0.0192881,2.10401,4399.68,-3875.61,81.0902,772.566,0.0432201,1.96357,-0.00398306
0.0193536,2.11032,4399.67,-3875.53,80.2904,774.586,0.0442484,1.96845,-0.00430836
0.0195252,2.11894,4399.67,-3875.54,80.6509,774.959,0.04366,1.99769,-0.0035745
0.0193415,2.1022,4399.68,-3875.46,79.5994,775.127,0.0439354,1.95075,-0.00431876
0.0195161,2.07575,4399.67,-3875.38,80.4026,770.981,0.0437428,1.90933,-0.00507414
0.0195186,2.12741,4399.67,-3875.37,80.4922,775.967,0.0441253,2.00861,-0.00299924
0.0194205,2.10884,4399.67,-3875.49,80.3348,774.12,0.043772,1.96112,-0.003991
0.0195921,2.11391,4399.66,-3875.42,80.9097,773.651,0.043376,1.98126,-0.00375156
0.0196696,2.0916,4399.66,-3875.62,80.9392,771.715,0.0437913,1.93228,-0.00466987
0.0191477,2.11791,4399.68,-3875.48,79.0237,777.765,0.0444865,1.99156,-0.00390788
0.0194379,2.07655,4399.67,-3875.52,79.8589,772.158,0.0437475,1.91239,-0.00497961
0.0193018,2.0906,4399.68,-3875.61,79.9364,772.718,0.0435633,1.92511,-0.00454683
0.0196956,2.10476,4399.67,-3875.55,81.0687,772.549,0.0435183,1.95898,-0.00412674
0.0192445,2.12915,4399.68,-3875.62,79.7901,777.07,0.0445089,2.00412,-0.00372275
0.0189413,2.10579,4399.69,-3875.48,78.6103,776.966,0.0440004,1.95695,-0.00403469
0.0193046,2.10946,4399.68,-3875.59,79.255,776.305,0.0436928,1.98154,-0.00312226
0.0197761,2.09917,4399.66,-3875.39,81.2063,772.076,0.0433139,1.95162,-0.00470885
0.0192847,2.10804,4399.68,-3875.6,79.4254,776.448,0.0445023,1.97353,-0.00426642
0.0192956,2.12518,4399.68,-3875.57,79.5641,776.469,0.0440389,1.99276,-0.00335312
0.0193029,2.07667,4399.68,-3875.48,79.1853,773.802,0.0438814,1.91663,-0.00448814
0.0194624,2.08779,4399.67,-3875.52,79.961,771.82,0.0437134,1.90949,-0.00537185
0.019337,2.1229,4399.67,-3875.55,79.6294,777.028,0.0444362,1.99748,-0.00374987
0.0192623,2.11305,4399.68,-3875.49,79.7269,776.468,0.0442147,1.99147,-0.00366639
0.0192313,2.09571,4399.68,-3875.4,79.6063,774.267,0.0437632,1.93913,-0.00419991
0.0195999,2.10099,4399.67,-3875.4,80.3476,773.94,0.0438126,1.95749,-0.00444497
0.0192773,2.1246,4399.68,-3875.47,79.5485,777.082,0.0441111,2.00071,-0.00317876
0.0196121,2.11012,4399.67,-3875.48,80.7624,773.92,0.0438798,1.97273,-0.00386435
0.0190941,2.08673,4399.68,-3875.59,79.2655,774.749,0.0441831,1.9295,-0.00513838
0.0192337,2.09844,4399.68,-3875.61,79.7728,774.699,0.0441128,1.94647,-0.00426424
0.0191799,2.10819,4399.68,-3875.52,79.1495,775.668,0.0439647,1.94617,-0.00471357
0.0196065,2.09154,4399.67,-3875.46,80.6247,772.231,0.0436789,1.93226,-0.00421466
0.0195558,2.07875,4399.67,-3875.38,80.5473,770.697,0.0431611,1.91574,-0.00495698
0.0195935,2.09491,4399.67,-3875.55,80.5,772.865,0.0436359,1.93893,-0.00440384
