tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
0.0136977,-2.11657,4399.84,-3875.56,56.5484,847.008,0.0549777,4.23899,0.00250858
0.0133745,-2.07565,4399.85,-3875.4,55.0024,854.775,0.0554185,4.3235,0.00333213
0.0130994,-2.12201,4399.85,-3875.53,55.3317,850.927,0.0552975,4.22018,0.00254996
0.0135414,-2.12776,4399.84,-3875.58,55.9064,849.049,0.0551621,4.22802,0.00213185
0.0131503,-2.11214,4399.85,-3875.48,54.2308,856.725,0.0557217,4.24966,0.0028396
0.0136993,-2.11096,4399.84,-3875.49,56.7742,846.384,0.0548447,4.24406,0.00262235
0.013731,-2.09091,4399.84,-3875.54,56.6239,847.7,0.0548461,4.3052,0.00383997
0.0136795,-2.07433,4399.84,-3875.56,56.1689,850.057,0.0552514,4.32701,0.00384811
0.0135412,-2.0962,4399.5,-3875.53,56.2606,849.058,0.0556577,4.28428,0.00418141
0.0131754,-2.08739,4399.85,-3875.56,54.4632,856.469,0.0557389,4.28575,0.003321
0.0132586,-2.11486,4399.85,-3875.62,54.7018,854.77,0.0556861,4.24166,0.0025845
0.0133211,-2.10193,4399.85,-3875.58,54.6769,855.477,0.0558738,4.26642,0.00329883
0.0136105,-2.11186,4399.84,-3875.41,56.4942,847.356,0.054592,4.25757,0.0029201
0.0132415,-2.12389,4399.85,-3875.46,54.834,853.983,0.0559764,4.23352,0.00232676
0.0134046,-2.09434,4399.85,-3875.38,55.2527,853.254,0.0556662,4.28998,0.00285442
0.0134309,-2.07092,4399.84,-3875.38,55.56,852.854,0.0557542,4.32135,0.00368657
0.0133787,-2.11798,4399.84,-3875.54,55.415,851.866,0.055613,4.24636,0.0025265
0.0136484,-2.05987,4399.84,-3875.62,56.0435,850.776,0.0550035,4.35219,0.00415663
0.0134386,-2.11969,4399.84,-3875.44,55.3236,852.754,0.0558096,4.26356,0.00337229
0.0139904,-2.11504,4399.83,-3875.48,57.509,843.794,0.0545944,4.28581,0.00329812
0.0139089,-2.0816,4399.83,-3875.48,57.0936,845.941,0.0543801,4.32245,0.00375196
0.0135391,-2.1359,4399.84,-3875.58,55.9251,848.12,0.0544636,4.2176,0.00225635
0.0134522,-2.13819,4399.84,-3875.48,56.2736,847.483,0.0542628,4.23405,0.00258021
0.0135802,-2.11814,4399.84,-3875.55,56.1124,849.198,0.0550872,4.26158,0.00331073
0.0132533,-2.1187,4399.85,-3875.47,54.8629,854.393,0.0557351,4.2511,0.00282804
0.0134198,-2.07089,4399.85,-3875.51,55.4355,853.396,0.0554201,4.34028,0.00381959
0.0135788,-2.15269,4399.84,-3875.56,55.6967,849.781,0.0553418,4.21062,0.00225029
0.0137096,-2.11127,4399.84,-3875.45,56.7632,846.466,0.0545655,4.26043,0.00303791
0.0138158,-2.117,4399.84,-3875.42,56.6226,847.034,0.0545283,4.2638,0.00287563
0.0135252,-2.0795,4399.84,-3875.43,55.7183,851.549,0.0550655,4.31938,0.00343385
0.0135399,-2.11291,4399.84,-3875.6,56.5219,847.476,0.0547607,4.26217,0.00262988
0.0138651,-2.09188,4399.83,-3875.57,57.0351,845.863,0.0543408,4.31308,0.00363143
0.0135246,-2.06562,4399.84,-3875.41,56.1392,850.459,0.0548907,4.35241,0.0041769
0.0136162,-2.11606,4399.84,-3875.38,56.1939,848.534,0.0545203,4.25773,0.00312449
0.0134551,-2.13225,4399.84,-3875.48,55.7571,849.659,0.0552018,4.23003,0.00213703
0.0136181,-2.14645,4399.84,-3875.48,56.2126,847.768,0.0550845,4.21639,0.00227342
0.0133111,-2.1131,4399.84,-3875.45,54.5195,855.627,0.0555847,4.24928,0.00304391
0.0137656,-2.10658,4399.84,-3875.47,56.8472,845.89,0.0543549,4.25797,0.00285411
0.0134857,-2.07715,4399.84,-3875.37,55.7405,851.267,0.0549912,4.31446,0.00333073
0.0135801,-2.11575,4399.84,-3875.48,56.1116,849.252,0.0551102,4.26355,0.00306669
0.0133391,-2.11098,4399.84,-3875.41,55.26,852.825,0.0551875,4.27745,0.00308097
0.0133984,-2.14347,4399.84,-3875.48,55.5956,850.098,0.0552387,4.21679,0.00193963
0.0133949,-2.12839,4399.85,-3875.48,55.1979,852.527,0.0561368,4.23017,0.00227843
0.0134611,-2.08145,4399.84,-3875.6,55.6238,852.621,0.0554754,4.33238,0.00408111
0.0131141,-2.11264,4399.85,-3875.37,54.2188,856.921,0.0556539,4.25203,0.00263192
0.0132047,-2.12203,4399.85,-3875.44,54.6246,855.141,0.0557695,4.24693,0.00222968
0.0132392,-2.1145,4399.85,-3875.43,54.4091,856.539,0.0559203,4.25893,0.00287176
0.0139394,-2.11181,4399.83,-3875.54,57.4613,843.93,0.0545301,4.28076,0.00309121
0.0133719,-2.13204,4399.85,-3875.56,55.0588,852.657,0.0554913,4.23184,0.00282731
0.0133191,-2.07284,4399.85,-3875.61,54.7889,855.68,0.0555262,4.31606,0.00352093
0.013545,-2.0735,4399.84,-3875.45,55.7706,851.43,0.0550328,4.32284,0.00387808
0.0135923,-2.11685,4399.84,-3875.38,55.9149,849.587,0.0550258,4.25033,0.00283866
0.0137342,-2.12973,4399.83,-3875.45,56.4665,847.789,0.0556868,4.25062,0.0027833
0.0137558,-2.13633,4399.84,-3875.47,56.2802,847.82,0.0551228,4.22785,0.00217838
0.0132613,-2.12003,4399.85,-3875.38,54.5061,855.772,0.0559361,4.24983,0.00276853
0.013311,-2.13346,4399.85,-3875.41,54.8856,853.828,0.0558847,4.23523,0.00239711
0.0133657,-2.08808,4399.85,-3875.51,55.6176,851.672,0.055244,4.29901,0.00337565
0.0133668,-2.1198,4399.85,-3875.39,55.1936,852.729,0.0556922,4.24644,0.00273246
0.0138034,-2.12571,4399.84,-3875.44,57.1098,844.867,0.0543546,4.25155,0.0025967
0.0137516,-2.11946,4399.83,-3875.46,57.0088,850.084,0.0545883,4.25301,0.00276589
0.0139189,-2.06931,4399.83,-3875.59,57.6593,843.009,0.0540437,4.3042,0.00437242
0.0133492,-2.09979,4399.85,-3875.61,55.3344,852.537,0.0550264,4.29348,0.00339299
0.0134311,-2.08844,4399.84,-3875.43,55.7125,851.325,0.0551465,4.30982,0.00345584
0.0132491,-2.0866,4399.85,-3875.61,55.3844,852.481,0.0555155,4.27774,0.00315019
0.0132099,-2.11634,4399.85,-3875.47,54.8666,854.01,0.0557271,4.24162,0.00253068
0.0131003,-2.11654,4399.85,-3875.54,54.7771,854.746,0.0557258,4.25511,0.00264855
0.0132864,-2.13063,4399.85,-3875.56,54.866,853.358,0.0556361,4.22391,0.00252105
0.0137733,-2.11119,4399.84,-3875.49,57.339,843.917,0.0540113,4.26984,0.00302632
0.0137955,-2.08821,4399.84,-3875.38,57.0406,845.652,0.0540789,4.30872,0.00347353
0.0137164,-2.09651,4399.83,-3875.41,57.1564,845.531,0.0542859,4.31848,0.00357011
0.0135295,-2.07552,4399.84,-3875.62,56.2703,849.491,0.0546782,4.32733,0.00401359
0.0134324,-2.14389,4399.84,-3875.61,55.1151,851.995,0.0554248,4.21514,0.00207209
0.0132923,-2.09208,4399.85,-3875.41,54.9982,853.747,0.0551328,4.29026,0.00360562
0.0135709,-2.08305,4399.84,-3875.59,55.9891,850.19,0.0547882,4.31077,0.00336474
0.0136433,-2.12545,4399.84,-3875.55,56.0603,848.678,0.0548907,4.24109,0.00290668
0.0137418,-2.07189,4399.83,-3875.4,56.7873,847.383,0.0542984,4.34153,0.00371523
0.0134311,-2.13225,4399.84,-3875.52,55.524,850.573,0.0552964,4.2234,0.00269253
0.0140411,-2.08486,4399.83,-3875.59,57.447,844.383,0.0540462,4.32613,0.00367574
0.0138466,-2.08132,4399.83,-3875.53,56.7787,847.323,0.0545132,4.32882,0.0038471
0.0135684,-2.12336,4399.84,-3875.57,55.9967,848.757,0.0550092,4.23388,0.00270086
0.0136955,-2.12631,4399.84,-3875.6,55.6919,850.509,0.0551942,4.23927,0.00246436
0.013557,-2.056,4399.84,-3875.58,55.1077,855.085,0.0559476,4.33175,0.00380762
0.0134746,-2.12065,4399.84,-3875.62,55.5624,852.343,0.0560748,4.26535,0.00285692
0.0133796,-2.16188,4383.34,-3875.54,55.0591,853.541,0.0555933,4.22997,0.00245076
0.0137192,-2.1123,4399.84,-3875.57,57.1765,844.889,0.0542992,4.28742,0.00348649
0.0135277,-2.11678,4399.84,-3875.54,55.695,850.433,0.0547961,4.25131,0.0027012
0.0135958,-2.09893,4399.84,-3875.47,56.0064,849.766,0.0549614,4.29173,0.00350074
0.0131505,-2.10244,4399.85,-3875.62,55.0359,853.917,0.0555698,4.29065,0.00305668
0.0131348,-2.08788,4399.85,-3875.53,54.4397,856.805,0.0560381,4.2867,0.00324328
0.013664,-2.08104,4399.84,-3875.4,56.8351,846.789,0.0544711,4.31489,0.00361189
0.0133364,-2.14831,4399.85,-3875.61,55.3537,850.73,0.0554462,4.21128,0.00237729
0.013482,-2.11196,4399.84,-3875.42,55.8084,850.381,0.0551478,4.25604,0.00302408
0.013213,-2.12366,4399.85,-3875.47,54.9243,853.629,0.0554038,4.24569,0.00301345
0.0138768,-2.12055,4399.83,-3875.58,57.5008,843.261,0.0538129,4.27421,0.00334177
0.0134118,-2.085,4399.85,-3875.53,55.0577,854.123,0.0554402,4.3087,0.00395772
0.0136407,-2.14734,4399.84,-3875.49,56.4594,846.52,0.0546195,4.21568,0.0020924
0.0134768,-2.0981,4399.84,-3875.5,55.9896,850.076,0.0549216,4.30084,0.00351054
0.0131566,-2.09792,4399.85,-3875.46,54.2434,857.413,0.0557618,4.2866,0.00309969
0.0137255,-2.14157,4399.84,-3875.51,56.8696,844.945,0.054309,4.22532,0.00226171
0.0132467,-2.13444,4399.85,-3875.4,54.9251,852.95,0.055572,4.21827,0.00252304
0.0133925,-2.08949,4399.85,-3875.53,57.6162,843.781,0.0544766,4.3093,0.00347706
0.013433,-2.0951,4399.84,-3875.51,56.0204,849.97,0.0552078,4.29412,0.00324897
0.0133736,-2.08156,4399.84,-3875.45,55.3784,853.015,0.0553834,4.31157,0.00347157
0.0137358,-2.08665,4399.84,-3875.55,56.9231,846.601,0.054317,4.32333,0.00375705
0.0131474,-2.10845,4399.85,-3875.46,54.2451,857.505,0.0563019,4.26734,0.00342671
