tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
0.0133235,1.45029,4399.84,-3875.43,55.1391,852.264,0.0555161,1.51973,0.00192182
0.0137933,1.48489,4399.84,-3875.62,56.5084,847.923,0.0549957,1.59047,0.0031428
0.0137713,1.50121,4399.83,-3875.42,56.9637,846.36,0.0544888,1.62358,0.00370773
0.0133709,1.50997,4399.84,-3875.42,54.7732,855.559,0.0553924,1.61836,0.00338905
0.0137558,1.43253,4399.84,-3875.59,56.3719,847.521,0.054982,1.52517,0.00222538
0.0134094,1.48424,4399.84,-3875.38,55.7335,850.948,0.0554094,1.58183,0.00309887
0.0139197,1.48755,4399.83,-3875.41,57.2764,844.633,0.0539225,1.61402,0.00332929
0.0139434,1.48849,4399.83,-3875.58,57.1835,845.083,0.0544478,1.59078,0.00318201
0.0132006,1.4715,4399.85,-3875.6,54.4422,856.439,0.0561162,1.573,0.00335922
0.0134586,1.50763,4399.84,-3875.54,55.5917,851.461,0.054449,1.60122,0.00307513
0.013564,1.51311,4399.84,-3875.49,56.1231,849.778,0.0545423,1.63758,0.0041399
0.0138231,1.499,4399.84,-3875.48,56.8759,846.606,0.0544751,1.61086,0.00348799
0.0137898,1.50834,4399.84,-3875.49,57.2344,845.329,0.0544285,1.63695,0.00378335
0.0132532,1.49016,4399.85,-3875.59,54.6747,855.612,0.0559058,1.5809,0.00302224
0.013233,1.48866,4399.85,-3875.53,54.7751,855.147,0.0555448,1.59092,0.0030423
0.0133062,1.47405,4399.85,-3875.56,54.3457,856.236,0.05611,1.55377,0.00255737
0.0137195,1.45581,4399.84,-3875.47,56.172,847.991,0.0547045,1.52322,0.00225332
0.0135549,1.50835,4399.84,-3875.62,56.1497,849.617,0.0550149,1.61715,0.00325048
0.0133146,1.47265,4399.85,-3875.48,55.397,851.433,0.0553327,1.55245,0.00280691
0.0136634,1.48531,4399.84,-3875.38,56.7901,846.63,0.0546033,1.58927,0.00345547
0.0137201,1.4542,4399.84,-3875.47,56.286,847.725,0.0548867,1.53006,0.00244878
0.013436,1.45202,4399.84,-3875.6,55.8661,849.196,0.0555677,1.51411,0.00217529
0.0134683,1.47958,4399.84,-3875.59,55.3465,852.361,0.0553628,1.57962,0.00261179
0.0135136,1.54784,4399.84,-3875.6,55.9565,851.186,0.0550587,1.65294,0.00395502
0.0136239,1.45317,4399.84,-3875.56,56.1822,848.023,0.0549123,1.52238,0.00202309
0.0131542,1.47004,4399.85,-3875.59,54.8985,853.692,0.0556925,1.56098,0.00297137
0.0138614,1.47105,4399.83,-3875.62,57.5128,842.817,0.0540758,1.56469,0.00255876
0.0135549,1.52447,4399.84,-3875.57,55.8279,851.463,0.0546981,1.65626,0.00393512
0.0134544,1.43756,4399.84,-3875.49,55.6879,849.743,0.054928,1.51482,0.00213771
0.0135799,1.47915,4399.84,-3875.53,56.3517,847.654,0.0550056,1.54563,0.00262745
0.0136998,1.4841,4399.84,-3875.44,56.802,846.74,0.0545829,1.5954,0.00302042
0.0133286,1.50381,4399.84,-3875.54,55.6237,851.997,0.0553627,1.61896,0.00385989
0.013784,1.49992,4399.84,-3875.41,57.3983,844.498,0.0542608,1.6242,0.0043374
0.0132352,1.48245,4399.85,-3875.39,54.4398,855.824,0.055607,1.56327,0.00254719
0.0135278,1.4615,4399.84,-3875.45,56.1855,848.208,0.0549438,1.53866,0.00307724
0.0137145,1.50706,4399.84,-3875.5,56.546,848.004,0.054573,1.62259,0.00366122
0.0135675,1.5088,4399.84,-3875.39,56.172,850.066,0.0548769,1.6434,0.00384866
0.0136807,1.48386,4399.84,-3875.44,56.3579,848.38,0.0548723,1.5895,0.00303547
0.0138269,1.49197,4399.83,-3875.5,56.8309,846.514,0.054442,1.59598,0.00360206
0.01349,1.49373,4399.84,-3875.56,55.76,850.799,0.0549589,1.59487,0.00296525
0.013085,1.48991,4399.85,-3875.6,54.2529,857.093,0.0561407,1.5681,0.00286683
0.013562,1.51935,4399.84,-3875.42,56.2424,849.009,0.0543673,1.6321,0.00390877
0.0136427,1.50995,4399.84,-3875.43,56.5998,847.579,0.0540189,1.63777,0.00401433
0.0133028,1.45761,4399.85,-3875.4,54.971,853.152,0.0555234,1.5437,0.0026452
0.0131426,1.50842,4399.85,-3875.52,54.7424,855.471,0.0557236,1.59265,0.00298651
0.0136875,1.47616,4399.84,-3875.48,56.5649,847.013,0.0545787,1.56895,0.00298448
0.013668,1.45472,4399.84,-3875.49,56.1958,848.349,0.0551354,1.53496,0.00277387
0.0134465,1.52345,4399.84,-3875.47,55.9563,850.782,0.0546186,1.65104,0.00366491
0.0137187,1.44977,4399.84,-3875.39,56.7236,845.746,0.054381,1.53039,0.00247051
0.013223,1.49534,4399.85,-3875.55,54.4209,857.416,0.0561843,1.60082,0.0032437
0.0136864,1.47794,4399.84,-3875.39,56.7759,846.648,0.0549088,1.57801,0.00310062
0.0136157,1.48912,4399.84,-3875.43,55.7124,851.637,0.0556149,1.59766,0.00341485
0.0134264,1.45938,4399.84,-3875.61,55.0908,852.721,0.0557865,1.54798,0.00267918
0.0139705,1.46323,4399.83,-3875.58,57.0969,844.483,0.0543022,1.54871,0.00258145
0.0134608,1.48088,4399.85,-3875.38,55.5753,852.396,0.0566295,1.5721,0.00357604
0.0135031,1.52612,4399.84,-3875.41,55.966,850.768,0.0548017,1.6451,0.00415881
0.0137221,1.46031,4399.84,-3875.58,56.5054,846.805,0.0546817,1.53045,0.00243714
0.013371,1.51667,4399.84,-3875.59,55.0973,853.935,0.0551822,1.62551,0.00370418
0.0135639,1.50857,4399.84,-3875.46,55.7344,851.869,0.0554679,1.63855,0.00393871
0.0135265,1.48955,4399.84,-3875.58,56.3164,848.618,0.0545844,1.60017,0.00302675
0.0131451,1.51256,4399.85,-3875.5,54.4801,857.208,0.0561803,1.61105,0.00358341
0.0132351,1.45809,4399.85,-3875.51,54.8043,853.741,0.0554502,1.53299,0.00220695
0.0133735,1.52911,4399.85,-3875.5,55.1184,853.944,0.0548404,1.63822,0.00365711
0.0134088,1.45099,4399.84,-3875.44,55.6242,850.014,0.0548143,1.51992,0.00208192
0.0137508,1.49612,4399.84,-3875.59,56.7415,846.881,0.0544741,1.59908,0.00319432
0.0135267,1.47101,4399.84,-3875.6,56.0967,848.397,0.0545426,1.56254,0.00298569
0.0136163,1.509,4399.84,-3875.54,56.0701,850.112,0.054866,1.62533,0.00356831
0.013646,1.50498,4399.84,-3875.47,56.0305,850.518,0.055336,1.61496,0.00393245
0.0136472,1.49179,4399.84,-3875.52,56.6243,847.475,0.054537,1.6072,0.00357541
0.0134947,1.47213,4399.84,-3875.54,55.4418,851.473,0.055508,1.55743,0.00247844
0.0138035,1.47787,4399.83,-3875.38,57.051,845.123,0.0543768,1.57386,0.0029579
0.0139436,1.47197,4399.83,-3875.44,57.5631,842.946,0.0540216,1.57537,0.00340469
0.0133204,1.5101,4399.85,-3875.6,55.2033,853.442,0.0548681,1.63109,0.00225258
0.0135423,1.4872,4399.84,-3875.52,55.4204,852.605,0.055592,1.58915,0.00345559
