tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
0.0182603,-1.47909,4399.71,-3875.49,75.3519,785.217,0.0458488,4.6638,-0.0036894
0.0179158,-1.47518,4399.72,-3875.5,73.5447,789.666,0.0466863,4.65662,-0.0042036
0.0179907,-1.46561,4399.72,-3875.48,73.9941,789.612,0.0466872,4.6911,-0.00344246
0.0179839,-1.51545,4399.72,-3875.49,74.4826,784.606,0.0456042,4.58914,-0.00495617
0.0182929,-1.46982,4399.71,-3875.58,75.6828,785.121,0.0455173,4.68756,-0.00336576
0.0180293,-1.47429,4399.72,-3875.41,74.251,787.749,0.0461758,4.6596,-0.00435003
0.0178161,-1.48103,4399.73,-3875.43,73.5634,789.951,0.0467543,4.66264,-0.00436322
0.0182163,-1.47413,4399.71,-3875.59,74.6489,787.864,0.0464549,4.6847,-0.00405829
0.0179944,-1.48396,4399.72,-3875.59,74.6429,786.607,0.0457626,4.65973,-0.00401379
0.0185651,-1.48368,4399.7,-3875.6,76.3655,782.643,0.0454556,4.66203,-0.00411364
0.018388,-1.50461,4399.71,-3875.57,75.609,782.233,0.0457958,4.59479,-0.00501846
0.0183754,-1.47492,4399.7,-3875.41,76.1194,783.175,0.0450753,4.66713,-0.0041397
0.0181445,-1.51178,4399.72,-3875.45,75.0953,783.251,0.045638,4.59301,-0.00503862
0.0183058,-1.49696,4399.71,-3875.54,74.3742,786.522,0.0460922,4.63645,-0.00445916
0.0179796,-1.51081,4399.72,-3875.43,74.1267,786.388,0.0460819,4.60232,-0.00465639
0.0184848,-1.477,4399.7,-3875.51,76.2162,782.784,0.0454349,4.65475,-0.004414
0.0177674,-1.51305,4399.73,-3875.39,73.8813,787.24,0.0465506,4.60772,-0.00510642
0.0179339,-1.46659,4399.72,-3875.57,74.2794,788.668,0.0462786,4.69426,-0.00349073
0.0180551,-1.4698,4399.72,-3875.59,74.8077,786.886,0.0458629,4.67883,-0.00391226
0.017963,-1.48439,4399.72,-3875.46,73.7352,788.658,0.0463089,4.64878,-0.00429142
0.018422,-1.48146,4399.7,-3875.42,76.128,783.286,0.0452574,4.66713,-0.00390709
0.0181609,-1.50822,4399.71,-3875.45,74.8348,784.351,0.046003,4.59849,-0.00458572
0.0180371,-1.51184,4399.72,-3875.48,74.2933,786.153,0.0464949,4.59947,-0.00434376
0.018393,-1.49018,4399.71,-3875.48,75.8317,782.974,0.0455021,4.63929,-0.00426799
0.0184067,-1.47976,4399.71,-3875.6,76.1233,783.759,0.0458262,4.66908,-0.00434727
0.0178313,-1.4902,4399.72,-3875.48,73.5361,789.01,0.0463994,4.64461,-0.00437473
0.0183019,-1.49243,4399.71,-3875.46,75.3461,783.787,0.0460279,4.62098,-0.00464833
0.0181947,-1.49144,4399.71,-3875.5,74.5623,786.276,0.0458062,4.6485,-0.00411065
0.0182692,-1.51243,4399.71,-3875.57,75.2705,783.236,0.0457566,4.6017,-0.00506401
0.0185091,-1.49524,4399.7,-3875.61,76.1699,781.875,0.0450149,4.64094,-0.00441431
0.0183432,-1.50754,4399.71,-3875.42,75.7538,781.892,0.0454299,4.60015,-0.00472597
0.017923,-1.47666,4399.72,-3875.38,73.8741,788.755,0.0464802,4.6564,-0.00409475
0.0181323,-1.48784,4399.71,-3875.52,74.0984,787.418,0.0462221,4.63883,-0.00403618
0.0180955,-1.47111,4399.72,-3875.47,74.5194,787.927,0.0463043,4.6789,-0.00361991
0.0182358,-1.45383,4399.71,-3875.43,75.1668,786.895,0.0462133,4.70441,-0.00364024
0.0180535,-1.50428,4399.72,-3875.46,74.9189,784.769,0.0461958,4.61699,-0.00481032
