,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate
29,0.008910490174564096,1.215937324944574,-5124.385524347477,4399.930244723575,906.7138795496876,0.06321145566938952,1.209893090672125,-0.0013639499701229236,-0.13650376086635774,48.803163195152436,1.2039045017479884,11111.780532079525
33,0.009174286506398255,1.174178955198041,-5124.392527128815,4399.928479908748,907.6081144709577,0.06336056693321337,1.1822369077566417,-0.0017493057256236252,-0.16415994378184107,49.23252443200117,1.171332931823838,10542.270741698716
85,0.009578131529224331,1.2165464450381176,-5124.388535352318,4399.919600945207,896.0418359344344,0.062412698112137725,1.2015600422261117,-0.0013569418691513468,-0.14483680931237108,51.51073414720492,1.214780192951019,8233.94979821763
100,0.009342063473207502,1.239345206594913,-5124.421490080006,4399.923509434047,903.3809018703474,0.06315013301711207,1.2558907149989385,-0.0010384919751039122,-0.09050613653954431,49.6169005397441,1.2512764543305792,9149.066139353783
122,0.009071061460568889,1.1527595079208952,-5124.382860164604,4399.927943482344,908.6557545781029,0.0637275244434258,1.2049785767048227,-0.0014801623184311841,-0.1414182748336601,48.66142809614046,1.182529461286616,10377.584171907982
144,0.00926679502797393,1.2342028622061367,-5124.419371446949,4399.92624073953,906.7432161981989,0.06371856647867448,1.229998983198977,-0.0013190839757769852,-0.11639786833950572,49.037380019211774,1.22531919437253,9878.945801869973
147,0.00928554278973341,1.2192492578288885,-5124.593976691014,4399.926048398563,905.0124657318668,0.06245208253819762,1.1865332305260035,-0.0014151359079684533,-0.1598636210124793,51.65574641285592,1.2060576314550049,9824.823444620313
179,0.009523687205021352,1.1741145220368672,-5124.6207869862,4399.921636879536,901.2413114103175,0.062393988045703196,1.1859405635961657,-0.0018492054226640054,-0.16045628794231703,50.47889398731015,1.187847682522058,8693.13507534156
226,0.009046798083333068,1.1747236469295372,-5124.531837669474,4399.930018008544,908.8654823624557,0.06383022512819313,1.2213470844901673,-0.0010440872069457227,-0.1250497670483155,48.498833323577756,1.2006295268678746,11036.145067737052
252,0.00890296814452356,1.1972433898137733,-5124.48527352433,4399.930985667849,904.8070849574743,0.06286382497814304,1.1893614612642704,-0.0016167939481901918,-0.15703539027421232,49.425434415985485,1.187562274739526,11364.308035987706
275,0.00942125873543419,1.226598329232902,-5124.607046320582,4399.923491631667,904.2065169071534,0.06307588513319802,1.2193439123144296,-0.0014753137942067663,-0.12705293922405314,49.65056073820961,1.2190325312567074,9144.56955238905
280,0.009254950710151442,1.196324533346574,-5124.528529297256,4399.9259136521205,903.3331412264979,0.06253504064147014,1.2179227191443993,-0.0014525143285727008,-0.12847413239408345,49.6246831048007,1.2098820575487084,9787.164081957148
310,0.009146400995267184,1.2033297142370343,-5124.456208147897,4399.92668174271,904.7048717500181,0.06321907061319047,1.2420993347376348,-0.0009526340429525405,-0.10429751680084798,49.31222408046198,1.2293264873480585,10004.68789271171
