,hole_id,center_r,center_ph,eccentricity,r_err,ph_err,ecc_err
0,13,778.4040933544816,0.7562059696013883,-0.01199275765890064,0.27967901329954603,0.0033541226287819048,0.004767685136797227
1,12,865.1453034567293,0.21150397381605057,0.007104789576559629,0.40867306425782024,0.0029035361271596448,0.004122848314161862
2,11,975.8363344425843,0.41864272419876425,0.0009146502899966266,0.5846279571848485,0.000534730130579257,0.0007587563364078263
3,23,808.135999883495,1.3452647203354688,0.010686119578731269,0.2933539524263346,0.003134815414521255,0.004456114342934631
4,22,879.0832692654013,1.5333353326889145,-0.007337440674178719,0.3931754166858867,0.002884901294478191,0.004097989589535508
5,21,903.3804215442318,1.2078089450268976,0.006509899959604646,0.32685272846804636,0.0021277785638508036,0.0030197742389661093
6,33,795.1713232178541,1.9235374155004317,0.01162963497676075,0.2576293991627191,0.002996135871544615,0.0042560072925206475
7,32,853.1583269931073,2.496428729507877,-0.009771149891704635,0.33774854485016326,0.003300191657436071,0.004687647708069037
8,31,956.55905795216,2.2594177989472515,0.0016959594062494552,0.5347788825829379,0.0009069632761801065,0.0012871185580408014
9,43,818.5932351009576,3.4427108958160577,-0.011604078921424198,0.2988790144917219,0.0034682156721194276,0.0049258684473744725
10,42,854.649276030691,3.164717164154197,0.009035152696131908,0.3505765538855464,0.0031675126960396278,0.004499500370674991
11,41,900.3138715546871,3.0334550668356166,0.005629702419566497,0.3594348061675264,0.002023510997957738,0.0028709983157360155
12,53,784.8415456102565,4.037065189495156,-0.010246654159457866,0.2981225144266315,0.0030547583024776812,0.004344242810532342
13,52,869.42665481346,3.837992845959553,-0.00668465104833516,0.4712426133069453,0.0031500924290624724,0.0044744997913576615
14,51,868.7673764655116,4.254597988233563,-0.009278034431089245,0.3268086220311014,0.00303214164758139,0.004303353489147384
15,63,798.7439173965154,4.621510553427479,0.012986751725968537,0.26448689458037467,0.003434825634687739,0.004879062571535392
16,62,853.2355706239233,5.179157912493611,-0.008482722443092573,0.39379013727120765,0.0033404124352989784,0.004745084144032201
17,61,950.6446695988241,4.93794232120089,0.0016412607477671146,0.5362413834929024,0.0008801119340552329,0.001248456862121654
18,73,770.756618959388,5.529252742184955,0.012003207693289364,0.2513081086025016,0.0030165034225635456,0.004284326705318889
19,72,823.4952679971655,6.127662051648386,0.01032556724999415,0.31546260154139055,0.0032573303070737364,0.004625051109138767
20,71,921.7949314474815,5.820242943736653,-0.003841936428154366,0.42872131727036367,0.0016471200463473357,0.0023368988019033324
