,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php,gem1_ph_local,sieve_r,sieve_ph,rate
9,0.010771220706098698,1.2027991943296157,-4499.704546914977,4399.9009271775385,884.7351870822183,0.0598284929470943,1.1911546085789204,-0.001640227567883961,-0.15524224295956235,49.50974745117588,1.2183949741729596,20788.349082734065
20,0.011061968766788525,1.2037368387016123,-4500.194928412939,4399.89232542288,885.7575690343191,0.060065091199837786,1.1784368277543185,-0.0019415732044275418,-0.1679600237841643,49.53648456014979,1.2094747686032012,17390.896171431126
56,0.010528898011768982,1.2520491487993761,-4499.83188207573,4399.906450899511,889.5898352264775,0.060614122904195065,1.2099884576415765,-0.001620484690541122,-0.1364083938969063,48.502652107490384,1.231088598837847,23497.323009156593
78,0.010363129244344472,1.1589979421274308,-4499.973515804658,4399.90908247353,890.0924584226502,0.06033019064228721,1.1461714506592824,-0.002108124208461786,-0.20022540087920038,48.79878977703931,1.1742531624402335,25525.47504747221
130,0.010947816860277076,1.1828980347751459,-4500.456565812767,4399.896083025186,885.8421049572364,0.06046655364556675,1.2059686236871092,-0.0015710580464700856,-0.14042822785137354,49.38256666367521,1.2242425577241893,18768.494391674794
147,0.010925600930116661,1.2079613202350459,-4500.216566580669,4399.8952564854535,882.8020835694267,0.05945741515943558,1.1602061702816846,-0.0020396483609174416,-0.18619068125679816,50.206444666485126,1.2022259292342459,18452.327533182368
211,0.01057953496491141,1.196707892640269,-4499.907576571741,4399.901394569019,894.2027250354527,0.06097878341298891,1.1604764379835413,-0.0023113676192166575,-0.1859204135549415,47.93729923649993,1.1771181858618698,20999.603358942408
363,0.01024184832217968,1.182422547025221,-4500.117514239595,4399.910915029867,893.1219229854204,0.06102414860125384,1.184387364633555,-0.001990235130421118,-0.16200948690492778,47.8773366560441,1.1936611717753942,26075.83200589905
442,0.01068428668651855,1.2584982326870144,-4499.76667874579,4399.903274192907,884.0582170321306,0.059862195446110184,1.2204267453063886,-0.0012637309057263115,-0.12597010623209415,49.61265613856439,1.2464233530066802,21881.210913878476
445,0.01058266527528018,1.1846185547479477,-4499.9855756030865,4399.900745276556,884.7166558420626,0.05978315569184222,1.1571396864408423,-0.002594035642269514,-0.18925716509764046,49.783699910087634,1.195100726609365,20706.96081909514
581,0.010254224268048619,1.2626966747781132,-4500.061691430164,4399.906304705403,885.3848144660539,0.060669153091289015,1.2237114430785894,-0.001225667939133339,-0.1226854084598934,49.20546029801913,1.2469800886936562,23419.220817849164
590,0.0108562000447386,1.1757445411812593,-4500.481113414986,4399.897969920114,886.1975100551754,0.059787407856383326,1.152685039195109,-0.0022449466889294554,-0.19371181234337387,49.94575791238315,1.1900426449491215,19520.14682586192
774,0.010531857368776888,1.1877675708133977,-4499.894088364908,4399.904264330157,893.8597186437764,0.06125663258705019,1.1602045426369336,-0.0023202627423451437,-0.18619230890154914,48.07415016210105,1.1806026049755451,22367.23992924323
838,0.010395816040565197,1.2166786304012767,-4499.648157705185,4399.901037865346,892.4770016516834,0.06131488185733478,1.2000540124805448,-0.0019357001074788386,-0.146342839057938,47.937737200755784,1.2149328263583539,20838.10035647728
874,0.010914949973665312,1.2342813684147413,-4499.725486546076,4399.898075470345,882.1516466324036,0.05960713247110647,1.1967966991269616,-0.0017088784430825794,-0.14960015241152114,50.15759383676302,1.2304002716068063,19563.466726728664
935,0.010673048318040645,1.2443637920327688,-4500.020060097175,4399.90176313207,881.8779764210823,0.05952316396748351,1.1981308604517102,-0.0016944905259393059,-0.14826599108677252,50.05047930066191,1.233080156302978,21168.37997004874
937,0.010355742728997756,1.2051219157890756,-4499.584514980114,4399.90011474717,896.5643577515089,0.06129078040330311,1.2013349568271767,-0.001993409333097659,-0.14506189471130604,47.09846138826306,1.2087281922279427,20428.372684938862
989,0.010405066585736927,1.2279858092494227,-4500.343688731732,4399.906015845523,893.1583704564604,0.06121728172772114,1.2317527136240847,-0.001338412075150038,-0.11464413791439809,47.672453875414185,1.241545305691549,23266.000601489948
