hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
31,0.012245,-2.39276,6599.71,-3875.62,48.7917,769.038,0.0514785,3.85208,-0.0019281
31,0.0121238,-2.37451,6599.71,-3875.62,48.1515,769.788,0.0516497,3.86679,-0.00182118
31,0.0120606,-2.40029,6599.72,-3875.45,47.9052,771.954,0.0515823,3.84615,-0.00195334
31,0.0121268,2.06252,6599.71,-3875.59,48.2628,773.597,0.0519466,2.01618,-0.00249905
31,0.0117997,-2.34862,6599.73,-3875.45,46.9772,771.197,0.0522625,3.90722,-0.00117127
31,0.0120241,-2.36003,6599.72,-3875.61,47.9152,769.272,0.0516781,3.88972,-0.0013009
31,0.0118089,2.12361,6599.73,-3875.59,47.0364,771.176,0.051992,2.10159,-0.00150855
31,0.0120126,-2.37034,6599.72,-3875.62,47.5711,770.687,0.0520678,3.88525,-0.00159026
31,0.0121111,2.127,6599.71,-3875.48,47.8492,769.01,0.0519089,2.10247,-0.00138023
31,0.0119268,-2.3853,6599.72,-3875.43,47.2432,772.039,0.052107,3.87371,-0.00145362
31,0.0122149,-2.34278,6599.71,-3875.48,48.0578,767.439,0.0513537,3.91363,-0.00122705
31,0.0119184,2.07059,6599.72,-3875.59,47.2924,775.295,0.0523394,2.03484,-0.00215156
31,0.0118021,2.09286,6599.73,-3875.46,46.991,774.34,0.0524147,2.06183,-0.00162721
31,0.0132166,-1.50101,6599.66,-3875.38,52.5826,760.711,0.049888,4.71078,-0.00248876
31,0.0122018,2.06597,6599.71,-3875.44,48.7171,771.904,0.0516315,2.01922,-0.00233393
31,0.01229,2.13819,6599.7,-3875.59,48.6092,766.521,0.0514308,2.10857,-0.00154639
31,0.0119145,-2.37531,6599.73,-3875.38,47.6792,770.388,0.052015,3.88372,-0.00153689
31,0.0122118,2.13518,6599.71,-3875.5,48.7595,766.215,0.0513699,2.10547,-0.00152675
31,0.0121361,2.07038,6599.71,-3875.61,48.4028,772.275,0.0516047,2.02753,-0.00199281
31,0.0122644,-2.41975,6599.71,-3875.51,48.7439,772.294,0.0516219,3.80994,-0.00237643
31,0.012009,2.10675,6571,-3875.47,48.0989,771.003,0.0521084,2.08038,-0.00167158
31,0.0116696,-2.40191,6599.73,-3875.6,46.7796,774.91,0.0524742,3.85408,-0.00205518
31,0.012338,-2.41537,6599.71,-3875.39,49.1397,770.857,0.0521045,3.81982,-0.00194883
31,0.0125325,-2.37103,6599.7,-3875.43,49.7089,765.4,0.0509026,3.86625,-0.0016621
31,0.0120492,2.13038,6599.72,-3875.55,47.3072,769.761,0.051777,2.11487,-0.00107228
31,0.0119261,-2.40342,6599.72,-3875.62,47.3826,774.087,0.0523851,3.84347,-0.00209928
31,0.0123949,-2.3778,6599.7,-3875.47,49.3197,766.326,0.0511037,3.86943,-0.00170772
