,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
8632,0.0183291,1.33573,6599.35,-3875.5,73.1107,714.168,0.0409826,1.32487,-0.000262869,-0.0215265
8633,0.0181706,1.35361,6599.36,-3875.5,72.1601,715.392,0.0414943,1.3637,0.000242599,0.0173041
8634,0.0179376,1.37067,6599.37,-3875.5,71.9797,715.266,0.0414215,1.38713,0.000512733,0.040731
8635,0.0180756,1.3355,6561.78,-3875.5,71.9106,716.199,0.04126,1.32652,0.000113342,-0.0198736
8636,0.0183336,1.35218,6599.34,-3875.5,72.7544,714.467,0.041069,1.35676,9.05606e-07,0.0103643
8637,0.0184756,1.36285,6599.33,-3875.5,73.2102,714.089,0.0410398,1.38079,0.000310043,0.0343933
8638,0.0184723,1.32202,6599.34,-3875.5,73.3601,713.789,0.0407419,1.31132,-0.000448026,-0.0350734
8639,0.018379,1.32715,6599.34,-3875.5,73.3121,713.732,0.0407008,1.31131,-0.000599778,-0.0350874
8640,0.0180737,1.344,6599.36,-3875.5,72.0503,715.235,0.0413285,1.34268,-0.000174836,-0.00371267
8641,0.018365,1.34401,6599.34,-3875.5,72.9925,714.274,0.0410304,1.34453,-0.000391346,-0.00186918
8642,0.0178969,1.33074,6599.38,-3875.5,71.0557,716.463,0.0415913,1.32237,-0.000317085,-0.0240237
8643,0.0178923,1.35027,6599.37,-3875.5,71.5741,715.511,0.0412922,1.35338,8.64424e-05,0.00697823
8644,0.0184299,1.34688,6599.34,-3875.5,73.4728,713.672,0.0407357,1.34748,5.88302e-05,0.00107834
8645,0.0181354,1.36335,6599.36,-3875.5,72.6917,714.457,0.041012,1.36707,0.000189744,0.0206771
8646,0.0185797,1.34432,6599.33,-3875.5,73.5571,713.59,0.0406093,1.36345,0.000451505,0.0170485
8647,0.0183781,1.34924,6599.34,-3875.5,72.8604,714.297,0.0409767,1.34772,-1.17404e-05,0.00132653
8648,0.0182971,1.33234,6599.35,-3875.5,72.8926,714.506,0.0412355,1.32171,-0.000154294,-0.0246842
8649,0.0179485,1.32817,6599.37,-3875.5,71.528,715.893,0.0415813,1.31291,-0.000433848,-0.0334828
8650,0.0182176,1.36864,6599.35,-3875.5,72.2259,714.984,0.0413271,1.37914,0.000198677,0.0327402
8651,0.0179691,1.3612,6599.37,-3875.5,71.9468,715.506,0.0415983,1.36368,0.00035834,0.0172789
8652,0.0182287,1.37648,6599.35,-3875.5,72.3952,714.933,0.0413228,1.4018,0.000715636,0.0554024
8653,0.0178902,1.3686,6599.38,-3875.5,71.3417,716.252,0.041776,1.38446,0.000420871,0.0380596
8654,0.0180567,1.33444,6599.36,-3875.5,71.8714,715.726,0.0418366,1.32123,-0.000333874,-0.0251672
8655,0.0179259,1.33729,6599.37,-3875.5,70.8382,716.678,0.0417258,1.33799,-0.000278752,-0.00840963
8656,0.0177771,1.34362,6599.38,-3875.5,70.8468,716.697,0.0417165,1.34294,5.2782e-06,-0.00346176
8657,0.0182701,1.36758,6599.35,-3875.5,72.793,714.371,0.0409913,1.37953,0.00061535,0.0331327
8658,0.0179058,1.33981,6599.37,-3875.5,71.4393,715.978,0.0416968,1.33584,2.1921e-05,-0.0105604
8659,0.0183403,1.37031,6599.35,-3875.5,72.8435,714.487,0.0412547,1.39311,0.000648259,0.0467154
8660,0.018249,1.34452,6599.35,-3875.5,72.6783,714.838,0.0414287,1.35058,-0.000190336,0.00418667
8661,0.0179112,1.36361,6599.37,-3875.5,71.6493,715.576,0.0413895,1.37522,0.000309918,0.028821
8662,0.0179902,1.32941,6599.37,-3875.5,71.5358,715.61,0.0412078,1.3119,-0.000225657,-0.0344971
8663,0.0183317,1.33947,6599.35,-3875.5,72.8735,714.18,0.0408709,1.33735,-0.000117286,-0.00904224
8664,0.0182994,1.35952,6599.35,-3875.5,72.755,714.349,0.0408316,1.37363,0.000322659,0.027236
8665,0.0183351,1.36241,6599.34,-3875.5,72.9641,713.98,0.0406555,1.3717,0.00031739,0.0253003
8666,0.0178598,1.3344,6599.37,-3875.5,71.2751,716.181,0.0415876,1.32115,-0.000484878,-0.0252485
8667,0.0178439,1.34841,6599.38,-3875.5,70.8753,716.472,0.0414729,1.35833,0.000282279,0.011935
8668,0.0180487,1.34865,6599.37,-3875.5,71.9624,715.221,0.0413912,1.35048,-0.000197719,0.00408739
8669,0.0182105,1.3467,6599.36,-3875.5,72.7452,714.343,0.0408152,1.34921,0.000220079,0.00281008
8670,0.0180085,1.34881,6599.37,-3875.5,71.6292,715.665,0.0415539,1.35238,-3.07719e-05,0.00598748
8671,0.0182506,1.33367,6599.35,-3875.5,72.9867,714.269,0.0410567,1.33315,-0.000286791,-0.0132443
8672,0.0182409,1.36603,6599.35,-3875.5,72.6702,714.531,0.0410424,1.38328,0.000286867,0.036881
8673,0.0181554,1.35403,6599.36,-3875.5,72.4218,714.695,0.0410648,1.36546,0.00048911,0.0190588
8674,0.0183287,1.35262,6599.35,-3875.5,72.8953,714.271,0.0410253,1.3448,-0.000122675,-0.00159764
8675,0.0184372,1.32044,6599.34,-3875.5,73.1835,713.93,0.0408422,1.30613,-0.00043418,-0.0402636
8676,0.0180503,1.35309,6599.36,-3875.5,72.3268,714.907,0.0412111,1.37062,0.000288134,0.0242207
8677,0.0185126,1.34969,6599.33,-3875.5,73.7073,713.606,0.0407354,1.35231,0.000162838,0.00591302
8678,0.0181313,1.36456,6599.36,-3875.5,72.1513,715.104,0.0413433,1.3786,0.000104374,0.0321984
8679,0.0184902,1.35636,6599.33,-3875.5,73.2499,713.97,0.0409234,1.36,0.000225777,0.0136058
8680,0.0180775,1.33352,6599.36,-3875.5,72.1155,715.064,0.0411909,1.31742,-0.0006132,-0.0289806
8681,0.0185073,1.33772,6599.33,-3875.5,73.7089,713.518,0.0407128,1.32674,-0.000465759,-0.0196546
8682,0.0180924,1.34647,6599.36,-3875.5,71.6832,715.609,0.0414871,1.34794,-3.20263e-05,0.00153865
8683,0.0184305,1.33137,6599.34,-3875.5,73.4369,713.878,0.0409006,1.32652,-0.000430021,-0.0198813
8684,0.0184437,1.34258,6599.34,-3875.5,73.4682,713.638,0.0407351,1.3421,2.30733e-05,-0.00429495
8685,0.0177607,1.34886,6599.39,-3875.5,70.8397,716.395,0.0415147,1.35242,-0.000153191,0.00602158
8686,0.0183794,1.3642,6599.34,-3875.5,73.5191,713.625,0.0407192,1.36994,0.000236729,0.0235385
8687,0.0182039,1.32726,6599.36,-3875.5,72.5293,714.619,0.0410829,1.32352,-0.000137797,-0.0228727
8688,0.0179769,1.36369,6599.37,-3875.5,71.5245,715.51,0.0412374,1.37935,0.000337643,0.0329566
8689,0.0181684,1.32602,6599.36,-3875.5,72.439,714.954,0.0413667,1.30648,-0.000572436,-0.0399189
8690,0.0178772,1.35212,6599.37,-3875.5,70.972,716.537,0.0417154,1.35983,0.000425243,0.0134349
8691,0.0177944,1.3465,6599.38,-3875.5,70.9875,716.365,0.0414189,1.33797,-0.000150454,-0.00842598
8692,0.0184713,1.33155,6599.34,-3875.5,73.6084,713.577,0.0406354,1.32073,-0.000569326,-0.0256627
8693,0.0177925,1.34546,6599.39,-3875.5,71.0157,715.462,0.0406139,1.34579,-0.000320526,-0.000604904
8694,0.0180725,1.32826,6599.36,-3875.5,72.1453,714.903,0.041001,1.30648,-0.000274066,-0.0399168
8695,0.0180435,1.35959,6599.37,-3875.5,71.693,715.542,0.0414306,1.37044,0.000272194,0.0240405
8696,0.0182125,1.36525,6599.35,-3875.5,72.5639,714.663,0.0412287,1.39594,0.000906875,0.0495463
8697,0.0182732,1.35153,6599.35,-3875.5,72.8691,714.268,0.0408935,1.36589,0.000259314,0.0194929
8698,0.0182945,1.3527,6599.35,-3875.5,73.015,714.221,0.040962,1.36071,0.000186303,0.0143099
8699,0.0178087,1.35384,6599.38,-3875.5,71.0735,716.294,0.0416894,1.36455,2.54767e-05,0.0181511
8700,0.0180876,1.36248,6599.36,-3875.5,72.017,715.295,0.0414445,1.37751,0.000569693,0.0311107
8701,0.0183739,1.3558,6599.35,-3875.5,73.1098,714.133,0.0409804,1.36174,-4.7238e-05,0.0153394
8702,0.0181105,1.3653,6599.36,-3875.5,71.9462,715.144,0.0412109,1.37175,0.000348036,0.0253542
8703,0.0183777,1.32474,6599.34,-3875.5,73.265,714.089,0.0410654,1.31503,-0.000418312,-0.0313691
8704,0.0179259,1.35528,6599.38,-3875.5,71.171,716.132,0.0414539,1.36433,0.000115419,0.0179339
8705,0.0182618,1.35835,6599.35,-3875.5,72.4147,714.926,0.0414342,1.36388,0.000209366,0.0174799
8706,0.0179498,1.3436,6599.37,-3875.5,71.2181,715.992,0.0413097,1.33961,-0.000214687,-0.00678427
8707,0.0184546,1.33365,6599.34,-3875.5,73.2102,714.039,0.0415874,1.32905,-0.000395287,-0.0173479
8708,0.0181713,1.32073,6599.36,-3875.5,72.3065,714.855,0.0409921,1.3033,-0.000538058,-0.0430926
8709,0.017946,1.3485,6599.38,-3875.5,71.4598,715.898,0.0416031,1.35207,-2.54101e-05,0.00567059
8710,0.018332,1.34688,6599.34,-3875.5,73.2275,714.061,0.0408999,1.34526,-3.38292e-05,-0.00113373
8711,0.0179274,1.36372,6599.37,-3875.5,71.0942,716.111,0.0412921,1.36584,0.000499405,0.0194478
8712,0.0182672,1.32838,6599.35,-3875.5,72.7141,714.405,0.0410092,1.31899,-0.000391812,-0.0274049
8713,0.0180716,1.35649,6599.36,-3875.5,71.964,715.145,0.0412989,1.36695,0.000115656,0.02055
8714,0.0183068,1.35186,6599.35,-3875.5,72.8896,714.221,0.0409008,1.33796,-0.000293876,-0.00843359
8715,0.0184006,1.33549,6599.34,-3875.5,73.4509,713.78,0.0407905,1.33161,-0.000319125,-0.0147835
8716,0.0182932,1.37266,6599.34,-3875.5,72.8544,714.229,0.0408587,1.39343,0.0003986,0.0470283
8717,0.0181692,1.34906,6599.36,-3875.5,72.467,714.785,0.0412432,1.35196,0.000264623,0.00556433
8718,0.017991,1.32772,6599.37,-3875.5,71.5413,715.874,0.0414731,1.31437,-0.000476706,-0.0320237
8719,0.0182294,1.34694,6599.35,-3875.5,72.4506,715.201,0.0416636,1.34574,9.12858e-05,-0.000657754
8720,0.018507,1.34709,6599.33,-3875.5,73.8412,713.347,0.0406005,1.3442,0.000123469,-0.00219723
8721,0.0182477,1.32238,6599.35,-3875.5,72.7659,714.433,0.0409465,1.30128,-0.000628376,-0.0451185
8722,0.0181117,1.32184,6599.36,-3875.5,72.0509,715.336,0.0413366,1.29789,-0.000682692,-0.0485075
8723,0.0182313,1.35833,6599.35,-3875.5,72.4873,714.567,0.040922,1.37254,0.000304354,0.0261392
8724,0.0182141,1.36144,6599.35,-3875.5,72.6926,714.577,0.0411693,1.37863,0.000557771,0.032231
8725,0.0180465,1.31631,6599.37,-3875.5,72.1588,715.114,0.0412463,1.29586,-0.000677419,-0.0505375
8726,0.018044,1.37029,6599.36,-3875.5,71.8318,715.461,0.0414443,1.38753,0.000584277,0.0411311
8727,0.0182161,1.31757,6599.36,-3875.5,72.3847,714.607,0.0407477,1.29381,-0.000563043,-0.0525902
8728,0.0181465,1.33782,6599.36,-3875.5,72.7315,714.659,0.0411706,1.32717,-0.00041143,-0.019223
8729,0.0183999,1.34204,6599.34,-3875.5,73.1913,714.104,0.0409785,1.33765,5.0062e-05,-0.00874816
8730,0.0181002,1.35286,6599.36,-3875.5,71.9269,715.055,0.0410208,1.35919,0.000183463,0.0127888
8731,0.0183746,1.33724,6599.34,-3875.5,73.0369,714.279,0.0411304,1.32921,-0.000462669,-0.0171903
8732,0.0182805,1.37407,6599.34,-3875.5,72.5617,714.513,0.0410028,1.4005,0.000817357,0.0541062
8733,0.0185773,1.33269,6599.33,-3875.5,73.6496,713.621,0.0407831,1.32975,-0.00028835,-0.0166508
8734,0.0180473,1.34178,6599.36,-3875.5,71.7195,715.429,0.0412747,1.34103,-0.00016819,-0.00536517
8735,0.0179223,1.34575,6599.38,-3875.5,71.4393,716.182,0.0419057,1.33934,-0.000409004,-0.00705608
