tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0136707,-1.51437,4399.84,-5124.5,73.3317,804.937,0.0503604,4.62066,-0.00479688,-0.31613
0.014279,-1.4869,4399.82,-5124.5,74.1544,802.53,0.0496391,4.66138,-0.00410212,-0.275405
0.0137571,-1.49502,4399.83,-5124.5,73.4737,802.848,0.0499915,4.5672,-0.00534161,-0.369587
0.0139327,-1.48398,4399.83,-5124.5,72.3425,808.332,0.0503912,4.65631,-0.00415759,-0.280474
0.0143739,-1.49357,4399.82,-5124.5,73.7911,804.324,0.0503108,4.60756,-0.00440388,-0.329228
0.0137618,-1.49037,4399.84,-5124.5,71.3389,811.567,0.0507772,4.62647,-0.00454136,-0.310322
0.0141881,-1.48604,4399.83,-5124.5,73.5694,804.421,0.0499765,4.63271,-0.00452597,-0.304074
0.0140205,-1.49686,4399.83,-5124.5,72.916,806.444,0.0504422,4.58459,-0.00519991,-0.352195
0.0137657,-1.51631,4399.84,-5124.5,72.295,807.86,0.0502271,4.63799,-0.00412309,-0.298794
0.0139219,-1.46433,4399.83,-5124.5,72.4551,808.271,0.0508631,4.69376,-0.00341152,-0.243031
0.0144302,-1.47813,4399.82,-5124.5,74.2777,803.149,0.0500574,4.65079,-0.00396488,-0.285998
0.0137551,-1.51071,4399.84,-5124.5,73.1431,804.946,0.0500061,4.59495,-0.00515415,-0.341835
0.0138792,-1.48358,4399.83,-5124.5,72.4352,807.942,0.0507231,4.67218,-0.00360635,-0.264604
0.0142296,-1.52185,4399.82,-5124.5,72.0497,810.99,0.0511086,4.60995,-0.00507025,-0.32684
0.0137391,-1.50954,4399.84,-5124.5,72.2104,807.842,0.0504068,4.57743,-0.00466921,-0.359354
0.0141301,-1.44634,4399.83,-5124.5,73.8959,803.814,0.0502102,4.66869,-0.0041219,-0.268101
0.0139201,-1.4988,4399.83,-5124.5,72.5491,807.761,0.0504437,4.624,-0.004661,-0.312789
0.013725,-1.51214,4399.84,-5124.5,72.6641,806.013,0.0502474,4.56521,-0.00540337,-0.37158
0.0140993,-1.50957,4399.83,-5124.5,73.1072,805.276,0.0501229,4.56938,-0.00557717,-0.367405
0.0138306,-1.43876,4399.83,-5124.5,73.2198,805.209,0.0502477,4.67217,-0.00396761,-0.264623
0.0142773,-1.48778,4399.82,-5124.5,73.4018,805.179,0.0500044,4.66079,-0.00363292,-0.275995
0.014137,-1.4749,4399.83,-5124.5,73.6977,803.973,0.0499863,4.6793,-0.00316572,-0.257484
0.0138548,-1.43983,4399.83,-5124.5,72.2725,808.863,0.0508129,4.66157,-0.00397722,-0.27522
0.0142051,-1.47231,4399.83,-5124.5,72.6235,807.706,0.0502215,4.70311,-0.00302379,-0.233683
0.0136221,-1.50245,4399.84,-5124.5,71.2233,812.245,0.0509624,4.62921,-0.00442776,-0.307577
0.0141431,-1.46796,4399.83,-5124.5,73.9721,802.52,0.0497525,4.63301,-0.00459337,-0.303778
0.0138676,-1.48226,4399.83,-5124.5,72.5137,807.713,0.0505587,4.62616,-0.00459427,-0.310625
0.0140109,-1.5011,4399.83,-5124.5,72.5441,807.784,0.0506813,4.62382,-0.00449075,-0.312973
0.0139508,-1.50369,4399.83,-5124.5,72.7748,807.134,0.0508592,4.59183,-0.0046281,-0.344958
0.0136071,-1.50393,4399.84,-5124.5,71.6499,809.981,0.0506346,4.59941,-0.00481709,-0.337378
0.0135847,-1.47516,4399.84,-5124.5,71.9859,809.324,0.0507577,4.66805,-0.00416517,-0.268739
0.0138152,-1.48927,4399.83,-5124.5,72.2808,808.39,0.0508337,4.6362,-0.00438792,-0.300586
0.0140058,-1.50133,4399.83,-5124.5,73.7241,803.055,0.0499644,4.58238,-0.00521943,-0.354407
0.0137088,-1.44651,4399.84,-5124.5,72.7252,807.557,0.0504437,4.63896,-0.00427938,-0.297829
0.0136033,-1.48573,4399.84,-5124.5,71.6036,810.445,0.050374,4.64027,-0.00396161,-0.296519
0.0138679,-1.4616,4399.83,-5124.5,73.5646,803.697,0.049594,4.66752,-0.00397768,-0.269264
0.0138374,-1.47232,4399.83,-5124.5,73.6182,803.742,0.0500902,4.65661,-0.00410385,-0.280175
0.0139021,-1.51081,4399.83,-5124.5,74.1452,801.366,0.0494974,4.62021,-0.00400061,-0.316582
0.0137397,-1.47221,4399.84,-5124.5,71.9284,810.098,0.0510538,4.66795,-0.00424206,-0.268837
0.0138131,-1.4822,4399.83,-5124.5,72.8806,805.83,0.0503624,4.57367,-0.00549904,-0.363122
0.0137497,-1.51253,4399.84,-5124.5,72.3399,807.632,0.0502744,4.60468,-0.00476474,-0.332106
