tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0101488,1.48919,4399.91,-5124.5,53.9714,876.373,0.0588932,1.56375,0.0025707,0.217349
0.010147,1.50637,4399.91,-5124.5,55.2852,871.712,0.0588467,1.5873,0.0023696,0.240902
0.0106256,1.47526,4399.9,-5124.5,55.6919,870.121,0.0585875,1.56654,0.00313682,0.220142
0.0100723,1.462,4399.91,-5124.5,53.0903,878.988,0.0593457,1.50009,0.00202572,0.153689
0.0103252,1.46191,4399.91,-5124.5,54.3256,875.826,0.0593551,1.50024,0.00230712,0.153842
0.00999236,1.46485,4399.91,-5124.5,52.746,881.588,0.0601458,1.51767,0.00206316,0.171272
0.0107484,1.47816,4399.9,-5124.5,55.399,870.443,0.0581135,1.54464,0.00223422,0.198238
0.0104783,1.45321,4399.91,-5124.5,54.7957,872.529,0.058394,1.52694,0.00254316,0.180539
0.0105187,1.48003,4399.9,-5124.5,55.5398,869.742,0.0587591,1.53008,0.00239442,0.183684
0.0104136,1.50587,4399.91,-5124.5,54.0402,878.197,0.0592171,1.59357,0.00325429,0.247174
0.0101838,1.42451,4399.91,-5124.5,53.6831,876.724,0.0595379,1.50182,0.00179177,0.155421
0.0107981,1.50345,4399.9,-5124.5,54.7054,875.595,0.0592917,1.5723,0.00282989,0.225904
0.0103007,1.45554,4399.91,-5124.5,53.6474,878.049,0.0593707,1.54847,0.00247493,0.202076
0.0108988,1.48142,4399.9,-5124.5,56.0955,867.601,0.0582353,1.54317,0.00228406,0.196776
0.0105626,1.51213,4399.9,-5124.5,55.3419,872.261,0.0585388,1.59401,0.00306461,0.247617
0.0103813,1.47186,4399.91,-5124.5,55.5216,870.108,0.0579536,1.58135,0.00346101,0.23495
0.0102601,1.47017,4399.91,-5124.5,53.1826,879.262,0.0594634,1.50908,0.00159194,0.162685
0.0109098,1.4574,4399.9,-5124.5,55.4685,871.12,0.0586508,1.53969,0.00244624,0.193295
0.0105027,1.45805,4399.9,-5124.5,54.5697,872.725,0.0590598,1.49069,0.00210778,0.144296
0.0102793,1.49139,4399.91,-5124.5,54.184,875.041,0.0586515,1.5335,0.00293791,0.187101
0.0105915,1.50067,4399.9,-5124.5,54.8401,873.598,0.0589752,1.56057,0.00281679,0.214169
0.0104527,1.52397,4399.91,-5124.5,55.358,870.987,0.0582298,1.57675,0.00295202,0.230351
0.0102347,1.524,4399.91,-5124.5,52.8415,882.005,0.0601338,1.52461,0.00221896,0.178218
0.0104894,1.43561,4399.91,-5124.5,54.6505,872.396,0.0587956,1.49218,0.00198457,0.145786
0.0104895,1.53312,4399.9,-5124.5,54.1877,877.93,0.0592416,1.58485,0.00290145,0.238449
0.0105249,1.52532,4399.9,-5124.5,54.8926,873.121,0.0584465,1.56657,0.00256303,0.220171
0.0105918,1.43859,4399.9,-5124.5,55.259,882.881,0.0603759,1.52399,0.00196039,0.177596
0.0108388,1.54877,4399.9,-5124.5,54.9625,874.989,0.0592318,1.5901,0.00305781,0.243705
0.0101618,1.50073,4399.91,-5124.5,53.2447,878.157,0.0598035,1.4834,0.00138764,0.137006
0.0105698,1.47053,4399.9,-5124.5,56.1115,867.055,0.0578961,1.56308,0.00262028,0.216684
0.0106339,1.45419,4399.9,-5124.5,54.9831,876.565,0.0590351,1.52386,0.00206394,0.177465
0.0101084,1.47464,4399.91,-5124.5,52.7329,882.047,0.0600211,1.54271,0.00207717,0.196314
0.0106329,1.47673,4399.9,-5124.5,55.2646,870.485,0.0589842,1.49629,0.00218771,0.149894
0.0102347,1.5494,4399.91,-5124.5,53.7148,877.928,0.0587953,1.56705,0.00256199,0.220653
0.0103969,1.46572,4399.91,-5124.5,54.3,874.086,0.0598165,1.48183,0.00159871,0.135437
0.0102757,1.46961,4399.91,-5124.5,53.7852,876.866,0.0593097,1.51641,0.00205569,0.170013
0.0101725,1.51459,4399.91,-5124.5,52.8049,881.948,0.0600917,1.54485,0.00274601,0.198458
0.0102121,1.49249,4399.91,-5124.5,53.3073,879.899,0.0599426,1.55587,0.00250689,0.209469
0.0104364,1.50503,4399.91,-5124.5,53.6657,878.351,0.059145,1.5532,0.00280885,0.206806
0.0102189,1.50464,4399.91,-5124.5,54.0047,876.282,0.0586169,1.57759,0.00303787,0.231192
0.0105641,1.47552,4399.9,-5124.5,54.1522,876.045,0.0591,1.51824,0.00200769,0.171841
0.010576,1.46755,4399.9,-5124.5,55.0929,870.495,0.0584509,1.50335,0.00179113,0.156951
0.0105585,1.51268,4399.9,-5124.5,54.7077,875.156,0.0587876,1.5862,0.0028964,0.239805
0.0100721,1.49267,4399.91,-5124.5,53.4716,877.992,0.0594949,1.52132,0.00240392,0.174921
0.0107524,1.46952,4399.9,-5124.5,54.8059,874.054,0.0593217,1.54856,0.00244448,0.202162
0.0103332,1.46484,4399.91,-5124.5,55.2493,869.866,0.0581343,1.53426,0.00238647,0.187863
0.0101326,1.46871,4399.91,-5124.5,52.9137,880.777,0.0594471,1.54179,0.00217655,0.195394
0.0104773,1.47761,4399.91,-5124.5,54.3666,876.681,0.059441,1.49871,0.00168808,0.152317
0.00981654,1.49097,4399.92,-5124.5,52.7335,880.642,0.0597314,1.51252,0.00249401,0.16612
0.0100047,1.49983,4399.91,-5124.5,52.7828,880.261,0.0593354,1.5127,0.00207002,0.166304
0.0104128,1.49401,4399.91,-5124.5,55.0974,872.219,0.0588971,1.5696,0.00272139,0.223202
0.0102517,1.44245,4399.91,-5124.5,53.7441,876.763,0.0591984,1.51494,0.00225811,0.168542
0.0109878,1.47228,4399.89,-5124.5,56.1562,867.988,0.0583421,1.54326,0.00210334,0.196862
0.0106219,1.48802,4399.9,-5124.5,54.6441,873.122,0.059047,1.50212,0.00203532,0.155726
0.0107556,1.46316,4399.9,-5124.5,55.8852,869.7,0.0582628,1.57654,0.0025114,0.230143
0.0106967,1.46718,4399.9,-5124.5,54.5555,874.465,0.0587344,1.53958,0.00286625,0.193181
0.0101811,1.52682,4399.91,-5124.5,53.3065,879.261,0.0594285,1.54172,0.00252627,0.195326
0.0100379,1.49503,4399.91,-5124.5,52.6831,882.273,0.0601319,1.54245,0.00220044,0.196054
0.0104354,1.52062,4399.91,-5124.5,54.1601,876.934,0.0593577,1.56905,0.00286352,0.222648
0.0104017,1.51501,4399.91,-5124.5,54.6356,874.864,0.0590407,1.5804,0.0028146,0.234006
0.0104781,1.49779,4399.91,-5124.5,54.5379,875.616,0.0586518,1.58634,0.00288152,0.239943
0.0107768,1.43197,4399.9,-5124.5,53.4822,880.51,0.0597935,1.53362,0.00250614,0.187226
0.0103855,1.54117,4399.91,-5124.5,53.6696,877.871,0.059681,1.53842,0.00272173,0.192019
0.00989306,1.46581,4399.91,-5124.5,53.116,879.194,0.0597394,1.51587,0.00199179,0.169474
0.0105557,1.52824,4399.9,-5124.5,54.7951,875.363,0.058982,1.59144,0.00291774,0.245042
0.0105238,1.48956,4399.9,-5124.5,54.1277,876.698,0.0597164,1.53475,0.00232391,0.188358
0.0101387,1.50028,4399.91,-5124.5,53.7615,878.588,0.0591284,1.58847,0.00293161,0.242078
0.0105492,1.44604,4399.9,-5124.5,54.5817,873.183,0.0587507,1.49853,0.00151172,0.152133
0.0100552,1.44152,4399.91,-5124.5,54.9191,872.012,0.0586058,1.5467,0.00286463,0.200306
0.0106126,1.51717,4399.9,-5124.5,55.5745,869.557,0.0584335,1.53625,0.00246174,0.189852
0.0105614,1.51371,4399.9,-5124.5,54.0297,878.121,0.0593633,1.57674,0.00280198,0.230347
0.0101469,1.45576,4399.91,-5124.5,52.8679,881.451,0.060352,1.51183,0.0019842,0.165432
0.0104527,1.48315,4399.91,-5124.5,53.9033,876.722,0.0597054,1.50554,0.00191259,0.159146
0.0101685,1.54922,4399.91,-5124.5,53.6188,877.976,0.059369,1.55496,0.00247647,0.208561
0.0105854,1.52153,4399.9,-5124.5,54.8767,873.422,0.0586276,1.5744,0.00266728,0.228006
0.0100962,1.45242,4399.91,-5124.5,53.6487,876.28,0.0593922,1.50164,0.00197126,0.155238
0.0101189,1.5376,4399.91,-5124.5,54.5685,874.539,0.0587312,1.58996,0.00310113,0.243561
0.0106185,1.41139,4399.9,-5124.5,54.3475,874.702,0.0593679,1.49928,0.00184767,0.152885
0.0104479,1.50316,4399.91,-5124.5,54.6073,874.812,0.0593622,1.57172,0.00264825,0.225327
