,hole_id,center_r,center_ph,eccentricity,r_err,ph_err,ecc_err
0,13,767.8325145319192,0.7180629602864139,-0.012804996490224896,0.16910230899221687,0.0021653544731342626,0.0030731400790864013
1,12,842.3127376205853,0.18976110077891764,0.00980126171354984,0.2728208825560947,0.0026739888708539284,0.003791507270650793
2,11,952.3103267231762,0.44847358541821786,-0.0021881050702896873,0.3866630218416053,0.0008460593185851485,0.001198819069548038
3,23,789.7342508199999,1.3435304373168164,0.018368538140650346,0.12748410668634158,0.002341696675994803,0.003322179413118455
4,22,849.7932212013693,1.5889896260492955,0.009355535417783318,0.2766173223443546,0.002587903156364994,0.003668470361648894
5,21,875.7517978367196,1.1510874535829183,0.007712891044704145,0.2781165236751238,0.0021450824448381108,0.0030402260224741432
6,33,774.4352780437916,1.964153051099773,0.013097943245974467,0.19609864892600076,0.0025684889742450295,0.003645747369019317
7,32,822.4817184429556,2.5234332561697306,-0.01175009564045926,0.2431867675862573,0.0028574677776326616,0.004052315685144331
8,31,929.0553070728001,2.243636250338509,-0.0030497213183245677,0.37578791531149885,0.0011460484164942254,0.0016239773700048683
9,43,798.9796845367935,3.431823157373112,-0.011840634060434679,0.22123454596680142,0.0026195573003193104,0.0037158831954494935
10,42,831.7956952173749,3.142212820031551,0.009785779583969348,0.2832063072525866,0.0027713944995637124,0.003930225856506841
11,41,875.7546169531258,2.949245901724945,-0.006105351905332837,0.3579381638631499,0.002185338450733219,0.003097942690290787
12,53,780.8615663320988,4.042866021455196,0.023315292380959786,0.10363337495578792,0.002416242437519831,0.003431766095813004
13,52,850.5561969239766,3.798138279347152,-0.00896796219520145,0.2915312121334513,0.002614440889134045,0.0037070931479843694
14,51,850.0442332645441,4.2821760859827975,0.010414412595956334,0.25157577414665183,0.0026200139111103565,0.003714852953869691
15,63,785.240138427908,4.6498029836513926,0.013842757026850906,0.18612576943403855,0.002576493802711069,0.0036561080874226433
16,62,833.7724402833372,5.2024985223278435,0.01165989730026534,0.24975966583473114,0.002912172053381555,0.004130075150367408
17,61,929.0257415985762,4.938897517265487,-0.003658598194796857,0.3620087560544415,0.0013244445814014354,0.0018772177662980836
18,73,767.669790653276,5.564791301966902,0.011566306368281636,0.18435861940884485,0.0021323482737161327,0.0030261789876541807
19,72,804.981147649585,6.125921101481983,-0.00995631824785301,0.24025119381607193,0.002392017345059427,0.0033920729048434544
20,71,902.661544362624,5.837988144372596,0.004398434985913265,0.42699699813258246,0.0018781185354662913,0.002662171367941081
