,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
5001,0.0139186,-2.10235,6599.62,-3875.5,55.2905,753.69,0.0482187,4.26306,0.0025775,0.22387
5002,0.0138961,-2.09469,6599.62,-3875.5,55.4609,753.689,0.0483234,4.27137,0.00263452,0.232178
5003,0.0130784,-2.09599,6599.67,-3875.5,52.3193,761.69,0.0498268,4.24951,0.00219875,0.210321
5004,0.0132246,-2.10355,6599.66,-3875.5,52.6972,760.113,0.0496558,4.24291,0.00208767,0.203715
5005,0.0133159,-2.076,6599.66,-3875.5,53.2642,760.545,0.0493395,4.28238,0.00277315,0.243188
5006,0.0136816,-2.14617,6599.64,-3875.5,53.8813,753.803,0.0489198,4.18796,0.00165087,0.148774
5007,0.0135076,-2.06445,6599.64,-3875.5,53.7393,760.892,0.0494193,4.30647,0.00315454,0.267277
5008,0.0132123,-2.1261,6599.66,-3875.5,52.7729,757.898,0.0494541,4.21295,0.00210198,0.173761
5009,0.0138815,-2.08733,6599.62,-3875.5,55.0444,755.903,0.048761,4.28809,0.00252252,0.248897
5010,0.0137968,-2.10007,6599.63,-3875.5,54.7974,755.152,0.0484252,4.26593,0.0022187,0.226743
5011,0.0133208,-2.13958,6599.65,-3875.5,52.8992,756.854,0.0493297,4.20131,0.00175166,0.162119
5012,0.0136824,-2.07949,6599.64,-3875.5,54.3438,757.959,0.0489021,4.292,0.00290286,0.252809
5013,0.0133903,-2.13371,6599.65,-3875.5,53.3741,755.312,0.0489841,4.19799,0.00170415,0.158801
5014,0.0131886,-2.09903,6599.66,-3875.5,52.4029,761.92,0.0498126,4.26062,0.00224675,0.221431
5015,0.0136004,-2.09879,6599.64,-3875.5,54.1413,757.261,0.0489439,4.26907,0.00258005,0.229876
5016,0.0135427,-2.09911,6599.64,-3875.5,54.101,757.069,0.0488235,4.26482,0.0023766,0.225627
5017,0.0136475,-2.10762,6599.64,-3875.5,54.3612,756.121,0.048896,4.2546,0.00255807,0.215412
5018,0.0137139,-2.13024,6599.63,-3875.5,54.681,752.835,0.0487306,4.21217,0.0020405,0.172983
