tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime,phi_local
0.0148659,2.08643,4399.81,-5124.5,77.0267,792.384,0.0485232,1.88494,-0.00489323,-0.359059
0.0146088,2.11366,4399.81,-5124.5,76.6772,794.329,0.0488381,1.9479,-0.00424543,-0.296099
0.0150339,2.09456,4399.8,-5124.5,77.5936,791.357,0.0485933,1.9087,-0.00518484,-0.335292
0.0158105,2.08706,4399.78,-5124.5,78.7163,789.633,0.0481259,1.94801,-0.00465143,-0.295988
0.0148687,2.07161,4399.81,-5124.5,77.6203,790.413,0.048302,1.89549,-0.00552716,-0.3485
0.0146466,2.08628,4399.82,-5124.5,77.8018,788.777,0.0479522,1.88323,-0.00485603,-0.360768
0.0148815,2.11688,4399.81,-5124.5,77.7381,791.058,0.048363,1.97019,-0.00390697,-0.273807
0.0146867,2.11377,4399.81,-5124.5,76.6569,794.245,0.0489355,1.96806,-0.00405141,-0.275939
0.014954,2.11066,4399.81,-5124.5,77.9669,790.467,0.0482482,1.94526,-0.00420546,-0.29873
0.0148192,2.09295,4399.81,-5124.5,78.1838,787.821,0.047577,1.88005,-0.00546723,-0.363942
0.0151415,2.08807,4399.8,-5124.5,78.4787,788.592,0.0477022,1.92484,-0.00472641,-0.319155
0.0146631,2.10046,4399.81,-5124.5,77.3141,791.58,0.0482246,1.91713,-0.00476836,-0.326867
0.0150843,2.11833,4399.8,-5124.5,77.5886,791.82,0.0486652,1.91631,-0.00495883,-0.327686
0.0149559,2.11989,4399.81,-5124.5,77.6536,791.107,0.0479949,1.95964,-0.00412352,-0.284355
0.014678,2.08902,4399.81,-5124.5,76.7547,793.785,0.0490286,1.9022,-0.00499648,-0.341795
0.0147157,2.08891,4399.81,-5124.5,77.7591,790.547,0.0483942,1.95455,-0.00429618,-0.289447
0.0149952,2.11513,4399.8,-5124.5,78.1666,790.018,0.0484395,1.94921,-0.00438072,-0.294785
0.0151429,2.11323,4399.8,-5124.5,78.6504,788.075,0.0478024,1.93743,-0.00432866,-0.306569
0.014824,2.11194,4399.81,-5124.5,76.9516,793.521,0.048609,1.95788,-0.00432721,-0.286117
0.0145911,2.08988,4399.82,-5124.5,77.0159,792.478,0.0487096,1.90065,-0.00507958,-0.343345
0.0146262,2.11472,4399.81,-5124.5,76.6176,794.3,0.0488028,1.92215,-0.00490539,-0.32185
0.01506,2.10405,4399.8,-5124.5,78.3415,788.172,0.0480146,1.8996,-0.00485376,-0.344391
0.0148891,2.06635,4399.81,-5124.5,77.8192,789.998,0.0478918,1.91973,-0.00465824,-0.324262
0.0150984,2.11938,4399.81,-5124.5,78.6003,788.349,0.0479218,1.95752,-0.00457502,-0.286473
0.0148331,2.08855,4399.81,-5124.5,76.8891,793.267,0.0485101,1.90668,-0.00534801,-0.33731
0.0151886,2.13096,4399.8,-5124.5,77.4473,792.387,0.0483167,1.97295,-0.00405983,-0.27105
0.0148858,2.1099,4399.81,-5124.5,76.4741,795.476,0.0490629,1.92601,-0.00466765,-0.317989
0.014838,2.0884,4399.81,-5124.5,78.5461,787.733,0.0475449,1.92415,-0.00495721,-0.31984
0.0153097,2.12547,4399.79,-5124.5,79.2616,786.537,0.0478006,1.94603,-0.0045235,-0.29797
0.014842,2.09415,4399.81,-5124.5,77.8414,790.151,0.0482073,1.91232,-0.00446189,-0.331677
0.0146123,2.09087,4399.82,-5124.5,78.248,787.212,0.0476599,1.8787,-0.00518743,-0.365294
0.0148092,2.10477,4399.81,-5124.5,77.5664,790.773,0.0480723,1.91572,-0.00491646,-0.328277
0.0145239,2.1105,4399.82,-5124.5,76.7061,793.372,0.0486425,1.89865,-0.00536786,-0.34534
0.014902,2.07138,4399.81,-5124.5,77.8884,790.389,0.0484954,1.92655,-0.00443274,-0.317442
0.0148378,2.10323,4399.81,-5124.5,77.9134,789.961,0.0479661,1.95393,-0.0042073,-0.290061
0.0151673,2.1174,4399.8,-5124.5,78.3886,789.318,0.048136,1.95887,-0.00397342,-0.28512
0.0150035,2.08132,4399.81,-5124.5,78.4378,789.069,0.0480039,1.9268,-0.00504822,-0.317195
0.0150092,2.08594,4399.81,-5124.5,79.0345,786.234,0.0476319,1.91922,-0.00484523,-0.324775
0.0144812,2.1005,4399.82,-5124.5,78.1698,788.782,0.04814,1.93338,-0.00436474,-0.310612
0.0146774,2.08671,4399.81,-5124.5,76.2192,795.566,0.0485479,1.96476,-0.00411117,-0.27924
0.0152367,2.14358,4399.8,-5124.5,78.4121,788.933,0.0481415,1.97259,-0.00440444,-0.271405
0.0149208,2.10175,4399.81,-5124.5,78.1662,789.518,0.0477657,1.96626,-0.00459583,-0.277737
0.0150126,2.1059,4399.81,-5124.5,77.6989,791.316,0.0488814,1.97313,-0.00393149,-0.270863
0.0147763,2.08965,4399.81,-5124.5,77.062,792.732,0.0485011,1.91507,-0.00494101,-0.328921
0.014714,2.0908,4399.81,-5124.5,77.229,791.154,0.0483098,1.88007,-0.00492571,-0.363924
0.014774,2.142,4399.81,-5124.5,77.8238,795.68,0.0488464,1.98,-0.00410255,-0.263996
