hole_id,tg_th,tg_ph,tg_p,tg_vz,sieve_r,gem_r,r_prime,gem_ph,phi_prime
32,0.0164886,2.362,6599.47,-3875.42,65.4191,727.563,0.0437891,2.46399,0.00277791
32,0.0164701,2.37446,6599.48,-3875.42,65.5603,727.918,0.0438739,2.49175,0.00291649
32,0.0166278,-0.294362,6599.46,-3875.63,65.9845,733.362,0.0442505,6.08998,0.00334271
32,0.0171715,-0.297773,6599.42,-3875.4,68.2796,729.085,0.0435096,6.1071,0.00310106
32,0.0168712,2.38154,6599.45,-3875.52,67.0125,725.073,0.0434717,2.51035,0.00333801
32,0.0170384,-0.302711,6599.43,-3875.53,67.7867,729.814,0.0436039,6.09695,0.00336121
32,0.0168383,2.38997,6599.45,-3875.39,67.0509,725.022,0.0433371,2.51729,0.00324973
32,0.0164608,2.37551,6599.47,-3875.42,65.4089,728.104,0.0437767,2.48937,0.00287472
32,0.0164172,2.39758,6599.48,-3875.4,65.4569,729.005,0.0438863,2.53872,0.00351375
32,0.0170647,-0.328187,6599.43,-3875.54,67.8039,728.002,0.0432592,6.04202,0.00270785
32,0.0166292,-0.293712,6599.46,-3875.52,66.1107,733.592,0.0440968,6.10806,0.00344372
32,0.0166739,2.37131,6599.46,-3875.44,66.1556,726.486,0.0437281,2.47801,0.00303142
32,0.0166736,2.37546,6599.46,-3875.47,66.4594,726.159,0.0437697,2.4953,0.0030156
32,0.017099,-0.280675,6599.43,-3875.48,67.905,730.009,0.0434856,6.13236,0.00381735
32,0.0161238,2.37291,6599.49,-3875.59,64.427,730.017,0.0443412,2.47375,0.00288709
32,0.0171825,-0.33184,6599.42,-3875.4,68.437,727,0.0432086,6.04148,0.0025579
32,0.0173092,-0.297951,6599.42,-3875.47,68.6029,728.281,0.0432016,6.10636,0.0034391
32,0.0165499,2.38968,6599.46,-3875.6,65.7271,728.093,0.04397,2.52139,0.00336748
32,0.016657,2.39794,6599.46,-3875.62,66.7358,726.243,0.0435341,2.54307,0.00409311
32,0.016468,2.41407,6599.47,-3875.51,65.7147,729.194,0.0440828,2.57096,0.00431728
32,0.0167809,2.3519,6599.45,-3875.59,66.0035,726.906,0.0437711,2.4855,0.00290941
32,0.01699,-0.281357,6599.44,-3875.41,67.6759,730.753,0.0437842,6.13553,0.0037593
32,0.0162577,2.36963,6599.48,-3875.51,64.6343,729.897,0.044372,2.48627,0.00309516
32,0.0164257,2.41129,6599.47,-3875.42,65.6058,729.211,0.0438847,2.56753,0.00421687
32,0.0172454,-0.324591,6599.42,-3875.52,68.7245,726.834,0.0431236,6.06257,0.00271175
32,0.0163269,2.38054,6599.48,-3875.54,64.6811,730.083,0.0445056,2.49495,0.00342049
32,0.0166943,2.37755,6599.46,-3875.54,66.2108,726.569,0.0436905,2.48698,0.00316541
32,0.0167513,2.38942,6599.45,-3875.58,66.8806,725.585,0.0433943,2.5307,0.0035114
32,0.017321,-0.304192,6599.42,-3875.57,69.0683,726.862,0.0429381,6.09014,0.00324481
32,0.0164236,2.35449,6599.47,-3875.52,65.6201,727.16,0.043742,2.46391,0.00249493
32,0.016098,2.38154,6599.5,-3875.48,64.091,731.396,0.0445598,2.50153,0.00305469
32,0.0164578,2.37131,6599.47,-3875.44,65.3915,728.184,0.044065,2.47881,0.00294626
32,0.0168781,-0.311867,6599.45,-3875.53,67.5138,729.877,0.0436734,6.08227,0.00321115
32,0.0168016,-0.320822,6599.45,-3875.37,66.8015,730.508,0.0438735,6.06092,0.00266686
32,0.0166467,2.41294,6599.46,-3875.57,66.2717,727.451,0.0433383,2.56266,0.00409447
32,0.0170014,-0.313726,6599.44,-3875.53,67.7761,728.927,0.0434953,6.07011,0.00283578
32,0.0166806,2.377,6599.46,-3875.63,66.0723,726.705,0.0436995,2.48112,0.00300836
32,0.0162749,2.36652,6599.48,-3875.6,64.7495,729.01,0.044157,2.46985,0.00257415
